|     name |         ra |       dec |     z |  gal_l |  mass | complete | lowmass |        S-PLUS |     CHANCES |                Abell |   WINGS |             ACT-DR5 |               PSZ2 |         LoVoCCS | HIFLUGCS |           MeerKAT |
|    75150 | -158.19661 | -24.85574 | 0.046 | 313.15 |  3.76 |    False |   False |  SPLUS-n19s26 |             |                      |         |                     |                    |                 |          |                   |
|    82717 | -158.06487 | -31.79099 | 0.049 | 311.88 |  9.22 |     True |   False |               |             |                      |         |                     |                    |                 |          |                   |
| 93213501 | -158.04362 | -24.61274 | 0.047 | 313.37 |  1.91 |    False |   False |  SPLUS-n19s26 |             |                      |         |                     |                    |                 |          |                   |
|    82710 | -158.00589 | -31.50288 | 0.049 | 311.99 | 14.84 |     True |   False |               |             |           ABELL 3558 |         |                     | PSZ2 G311.98+30.71 |                 |          |                   |
|    79103 | -157.95512 | -27.34854 | 0.034 | 312.88 |  1.36 |    False |   False |               |             |                      |         |                     |                    |                 |          |                   |
|    79102 | -157.76751 | -27.21152 | 0.043 | 313.11 |  1.40 |    False |   False |               |             |                      |         |                     |                    |                 |          |                   |
|    79121 | -157.72800 | -29.44470 | 0.049 | 312.68 |  1.89 |    False |   False |               |             |                      |         |                     |                    |                 |          |                   |
|    82731 | -156.91284 | -32.77433 | 0.049 | 312.79 |  4.46 |    False |    True |               |             |                      |         |                     |                    |                 |          |                   |
|    82736 | -156.90509 | -33.09981 | 0.049 | 312.73 |  5.16 |    False |    True |               |             |           ABELL 3560 |         |                     |                    |                 |          |                   |
|    82771 | -156.56213 | -31.67168 | 0.049 | 313.36 |  6.83 |    False |    True |               |             |           ABELL 3562 |         |                     | PSZ2 G313.33+30.29 |                 |          |                   |
|    86397 | -155.62876 | -41.32934 | 0.052 | 312.15 |  2.67 |    False |   False |               |             |                      |         |                     |                    |                 |          |                   |
|    82816 | -155.24125 | -35.60085 | 0.052 | 313.71 |  4.65 |    False |    True |               |             |           ABELL 3566 |         |                     |                    |                 |          |                   |
|    70916 | -153.98157 | -19.82512 | 0.035 | 319.51 |  1.10 |    False |   False |  SPLUS-n16s39 |             |          ABELL S0741 |         |                     |                    |                 |          |                   |
| 93243008 | -153.27143 | -37.86752 | 0.038 | 314.86 |  1.72 |    False |   False |               |             |           ABELL 3570 |         |                     |                    |                 |          |                   |
|    86371 | -153.26980 | -37.88320 | 0.038 | 314.86 |  1.98 |    False |   False |               |             |           ABELL 3570 |         |                     |                    |                 |          |                   |
| 93223401 | -152.72198 | -30.32663 | 0.016 | 317.44 |  3.16 |     True |   False |               |             |           ABELL 3574 |         |                     |                    |                 |          |                   |
|    79173 | -151.70351 | -28.03405 | 0.048 | 319.18 |  3.60 |    False |   False |               |             |                      |         |                     |                    |                 |          |                   |
|    79172 | -151.61388 | -27.88986 | 0.049 | 319.32 |  2.11 |    False |   False |               |             |                      |         |                     |                    |                 |          |                   |
| 93203701 | -151.40384 | -19.79984 | 0.034 | 322.59 |  0.31 |    False |   False |  SPLUS-n16s41 |             |                      |         |                     |                    |                 |          |                   |
|    75206 | -150.37005 | -24.47590 | 0.038 | 321.85 |  3.25 |    False |   False |  SPLUS-n19s31 |             |                      |         |                     |                    |                 |          |                   |
| 93213601 | -150.19230 | -24.39218 | 0.037 | 322.08 |  0.90 |    False |   False |  SPLUS-n19s31 |             |                      |         |                     |                    |                 |          |                   |
|    75203 | -150.10028 | -24.35737 | 0.038 | 322.19 |  1.46 |    False |   False |  SPLUS-n19s31 |             |                      |         |                     |                    |                 |          |                   |
|    66902 | -149.59859 | -11.13212 | 0.062 | 329.23 |  4.00 |    False |    True |  SPLUS-n09s45 |             |           ABELL 1837 |         |                     |                    |                 |          |                   |
|    66907 | -149.55839 | -11.47646 | 0.040 | 329.08 |  1.04 |    False |   False |  SPLUS-n10s44 |             |           ABELL 1836 |         |                     |                    |                 |          |                   |
| 93233312 | -149.08703 | -33.95983 | 0.015 | 319.63 |  0.78 |    False |    True |               |             |          ABELL S0753 |         |                     |                    |                 |          |                   |
|    66889 | -148.86517 | -10.21123 | 0.037 | 330.79 |  1.85 |    False |   False |  SPLUS-n09s45 |             |                      |         |                     |                    |                 |          |                   |
|    79221 | -148.13255 | -27.01646 | 0.022 | 323.14 |  7.08 |     True |   False |               |       A3581 |           ABELL 3581 |         |                     |                    |                 |    A3581 |                   |
| 93223508 | -148.09122 | -27.02720 | 0.023 | 323.18 |  2.36 |    False |    True |               |       A3581 |           ABELL 3581 |         |                     |                    |                 |    A3581 |                   |
| 93193803 | -147.97198 |  -9.07716 | 0.038 | 332.75 |  1.24 |    False |   False |  SPLUS-n08s45 |             |                      |         |                     |                    |                 |          |                   |
|    66875 | -147.96703 |  -9.08363 | 0.035 | 332.75 |  1.76 |    False |   False |  SPLUS-n08s45 |             |                      |         |                     |                    |                 |          |                   |
|    82854 | -146.92296 | -34.33599 | 0.039 | 321.38 |  1.50 |    False |   False |               |             |          ABELL S0758 |         |                     |                    |                 |          |                   |
|    58066 | -145.55832 |   2.04068 | 0.054 | 346.09 |  1.82 |    False |   False |  SPLUS-n03n48 |             |                      |         |                     |                    |                 |          |                   |
| 93223516 | -145.31825 | -27.52124 | 0.023 | 325.67 |  0.88 |    False |   False |               |             |          ABELL S0761 |         |                     |                    |                 |          |                   |
|    66935 | -144.96676 |  -9.36847 | 0.045 | 336.48 |  2.22 |    False |   False |  SPLUS-n08s47 |             |                      |         |                     |                    |                 |          |                   |
| 93163901 | -141.44730 |   3.69369 | 0.031 | 353.74 |  1.03 |    False |   False |  SPLUS-n04n51 |             |                      |         |                     |                    |                 |          |                   |
|    79282 | -141.26421 | -28.34396 | 0.063 | 329.04 |  2.54 |    False |   False |               |             |           ABELL 3605 |         |                     |                    |                 |          |                   |
|    53529 | -139.83716 |   3.47273 | 0.027 | 355.49 |  2.48 |    False |    True |  SPLUS-n04n52 |        MKW8 |                      |         |                     | PSZ2 G355.50+54.72 |                 |     MKW8 |                   |
| 93164001 | -139.78973 |   3.46729 | 0.028 | 355.55 |  1.66 |    False |   False |  SPLUS-n04n52 |        MKW8 |                      |         |                     | PSZ2 G355.50+54.72 |                 |     MKW8 |                   |
|    66986 | -138.35882 |  -8.79709 | 0.065 | 344.79 |  2.63 |    False |   False |  SPLUS-n07s53 |             |           ABELL 1964 |         |                     |                    |                 |          |                   |
| 93213809 | -138.09494 | -22.17839 | 0.012 | 335.45 |  0.43 |    False |   False |  SPLUS-n17s50 |             |                      |         |                     |                    |                 |          |                   |
| 93164021 | -137.23812 |   3.46527 | 0.006 | 358.53 |  0.15 |    False |   False |  SPLUS-n04n54 |             |                      |         |                     |                    |                 |          |                   |
| 93174103 | -133.44183 |   1.62645 | 0.006 |   0.39 |  0.39 |    False |    True |               |             |                      |         |                     |                    |                 |  NGC5846 |                   |
| 93213901 | -130.35826 | -24.12200 | 0.008 | 341.03 |  0.24 |    False |   False |               |             |                      |         |                     |                    |                 |          |                   |
| 93164212 | -126.88504 |   4.71256 | 0.039 |   9.91 |  1.29 |    False |   False |               |             |                      |         |                     |                    |                 |          |                   |
| 93184319 | -121.97194 |  -5.53021 | 0.059 |   3.04 |  2.02 |    False |   False |               |             |                      |         |                     |                    |                 |          |                   |
| 93174301 | -118.85742 |  -1.84742 | 0.032 |   8.94 |  0.79 |    False |   False |               |             |                      |         |                     |                    |                 |          |                   |
| 93174603 | -105.58286 |  -1.92457 | 0.031 |  17.24 |  1.20 |    False |   False |               |             |                      |         |                     |                    |                 |          |                   |
| 93311301 |  -79.84380 | -77.18339 | 0.018 | 317.18 |  1.31 |    False |    True |               |             |                      |         |                     |                    |                 |          | MCXC J1840.6-7709 |
| 93282608 |  -78.35845 | -62.25645 | 0.015 | 333.37 |  0.80 |    False |    True |               |             |                      |         |                     |                    |                 |          |                   |
| 93282601 |  -78.05425 | -63.35348 | 0.015 | 332.24 |  0.74 |    False |   False |               |             |          ABELL S0805 |         |                     | PSZ2 G332.29-23.57 |                 |          |                   |
| 93282701 |  -73.43327 | -62.26643 | 0.016 | 333.89 |  0.62 |    False |   False |               |             |                      |         |                     |                    |                 |          |                   |
|    93735 |  -70.45435 | -52.47832 | 0.060 | 344.86 |  2.95 |    False |   False |               |             |          ABELL S0811 |         |                     |                    |                 |          |                   |
| 93224801 |  -67.89451 | -29.48041 | 0.024 |   9.40 |  0.81 |    False |   False |               |             |                      |         |                     |                    |                 |          |                   |
|    93796 |  -65.10453 | -53.13527 | 0.069 | 344.79 |  2.71 |    False |   False |               |             |          ABELL S0823 |         |                     |                    |                 |          |                   |
| 93224901 |  -62.03921 | -30.84475 | 0.019 |   9.79 |  0.64 |    False |   False |               |             |                      |         |                     |                    |                 |          |                   |
|    96489 |  -61.92342 | -55.05654 | 0.061 | 342.83 |  4.44 |    False |    True |               |       A3651 |           ABELL 3651 |         |                     | PSZ2 G342.82-30.48 |                 |          |                   |
|    96490 |  -60.47062 | -55.16389 | 0.058 | 342.78 |  2.53 |    False |   False |               |             |                      |         |                     |                    |                 |          |                   |
|    93790 |  -60.36662 | -52.67034 | 0.051 | 345.69 |  1.69 |    False |   False |               |             |          ABELL S0835 |         |                     |                    |                 |          |                   |
| 93244409 |  -59.77626 | -38.61588 | 0.020 |   1.87 |  0.49 |    False |   False |               |             |           ABELL 3656 |         |                     |                    |                 |          |                   |
|    96486 |  -57.73196 | -54.37342 | 0.052 | 343.79 |  3.15 |    False |   False |               |             |          ABELL S0849 |         |                     |                    |                 |          |                   |
| 93263719 |  -57.57543 | -48.60883 | 0.009 | 350.64 |  0.82 |     True |   False |               |             |                      |         |                     |                    |                 |          |                   |
| 93273325 |  -56.89264 | -56.79502 | 0.055 | 340.91 | 10.32 |     True |   False |               |       A3667 |           ABELL 3667 |   A3667 | ACT-CL J2012.4-5649 | PSZ2 G340.88-33.36 |           A3667 |    A3667 | MCXC J2012.5-5649 |
| 93244401 |  -55.49456 | -41.09327 | 0.018 | 359.74 |  0.89 |    False |   False |               |             |                      |         |                     |                    |                 |          |                   |
|    93844 |  -55.30464 | -52.70500 | 0.051 | 345.83 |  4.76 |    False |    True |               |             |          ABELL S0861 |         |                     | PSZ2 G345.82-34.29 |                 |          |                   |
| 93263701 |  -55.26669 | -52.70208 | 0.045 | 345.84 |  2.96 |    False |   False |               |             |          ABELL S0861 |         |                     | PSZ2 G345.82-34.29 |                 |          |                   |
| 93301905 |  -55.13340 | -70.75129 | 0.013 | 324.23 |  0.26 |    False |   False |               |             |                      |         |                     |                    |                 |          |                   |
|    93841 |  -53.09711 | -52.37941 | 0.064 | 346.23 |  2.43 |    False |   False |               |             |                      |         |                     |                    |                 |          |                   |
| 93215311 |  -49.75798 | -20.64988 | 0.027 |  24.88 |  0.75 |    False |   False |               |             |          ABELL S0891 |         |                     |                    |                 |          |                   |
| 93225107 |  -49.13977 | -26.46570 | 0.040 |  18.39 |  1.31 |    False |   False |               |             |          ABELL S0894 |         |                     |                    |                 |          |                   |
| 93244601 |  -44.69494 | -41.17962 | 0.048 |   0.61 |  1.58 |    False |   False |  SPLUS-s32s43 |             |                      |         |                     |                    |                 |          |                   |
|    67881 |  -44.60548 | -13.27813 | 0.028 |  35.32 |  1.32 |    False |   False |               |             |                      |         |                     |                    |                 |          |                   |
| 93225109 |  -44.57220 | -28.03629 | 0.039 |  17.76 |  1.50 |    False |   False |  SPLUS-s22s21 |             |           ABELL 3733 |         |                     |                    |                 |          |                   |
| 93195703 |  -44.55424 | -13.26614 | 0.029 |  35.36 |  0.92 |    False |   False |               |             |                      |         |                     |                    |                 |          |                   |
| 93244623 |  -44.49832 | -38.59012 | 0.044 |   4.06 |  1.73 |    False |   False |  SPLUS-s30s45 |             |          ABELL S0917 |         |                     |                    |                 |          |                   |
| 93254303 |  -43.92330 | -43.40990 | 0.017 | 357.64 |  0.45 |    False |   False |  SPLUS-s33s43 |             |          ABELL S0919 |         |                     | PSZ2 G357.75-41.77 |                 |          |                   |
| 93195701 |  -43.89505 | -12.20724 | 0.027 |  36.86 |  0.87 |    False |   False |               |             |                      |         |                     |                    |                 |          |                   |
| 93263802 |  -43.80732 | -51.87012 | 0.048 | 346.34 |  2.68 |    False |   False |  SPLUS-s40s36 |             |                      |         |                     |                    |                 |          |                   |
| 93244637 |  -43.25065 | -39.63121 | 0.050 |   2.75 |  1.46 |    False |   False |  SPLUS-s31s44 |             |          ABELL S0922 |         |                     |                    |                 |          |                   |
| 93215401 |  -43.16545 | -25.40061 | 0.038 |  21.49 |  1.27 |    False |   False |  SPLUS-s20s23 |             |           ABELL 3744 |         |                     |                    |                 |          |                   |
| 93215409 |  -42.08242 | -23.23155 | 0.036 |  24.58 |  1.18 |    False |   False |  SPLUS-s18s23 |             |                      |         |                     |                    |                 |          |                   |
|    59097 |  -41.51287 |   2.55329 | 0.048 |  53.52 |  4.37 |    False |    True |               |             |                      | IIZW108 |                     | PSZ2 G053.55-29.85 |                 |  IIZw108 |                   |
| 93175729 |  -41.44187 |   2.54641 | 0.013 |  53.56 |  0.80 |    False |    True |               |             |                      | IIZW108 | ACT-CL J2114.7+0232 | PSZ2 G053.55-29.85 |                 |  IIZw108 |                   |
| 93254302 |  -41.03405 | -42.59084 | 0.016 | 358.71 |  0.35 |    False |   False |  SPLUS-s33s45 |             |           ABELL 3756 |         |                     |                    |                 |          |                   |
|    99149 |  -40.78840 | -59.49832 | 0.058 | 335.93 |  3.51 |    False |   False |  SPLUS-s46s31 |             |          ABELL S0927 |         |                     |                    |                 |          |                   |
| 93283002 |  -40.69255 | -59.51056 | 0.058 | 335.89 |  2.28 |    False |   False |  SPLUS-s46s32 |             |          ABELL S0927 |         |                     |                    |                 |          |                   |
|    90911 |  -36.49082 | -42.66417 | 0.028 | 358.34 |  1.06 |    False |   False |  SPLUS-s33s47 |             |           ABELL 3783 |         | ACT-CL J2134.0-4238 | PSZ2 G358.34-47.31 |                 |          |                   |
|    99182 |  -36.35023 | -61.90106 | 0.056 | 331.88 |  1.53 |    False |   False |               |             |           ABELL 3782 |         |                     |                    |                 |          |                   |
| 93215615 |  -34.99763 | -22.50186 | 0.032 |  28.10 |  1.14 |    False |   False |  SPLUS-s18s28 |             |          ABELL S0963 |         |                     |                    |                 |          |                   |
|    63702 |  -34.32133 |  -6.83267 | 0.053 |  48.42 |  1.23 |    False |   False |  SPLUS-s06s02 |             |           ABELL 2366 |         |                     |                    |                 |          |                   |
|    93944 |  -33.63595 | -51.61200 | 0.056 | 344.79 |  2.28 |    False |   False |  SPLUS-s40s40 |             |          ABELL S0968 |         |                     |                    |                 |          |                   |
|    90926 |  -33.25913 | -43.91091 | 0.062 | 356.06 |  4.77 |    False |    True |  SPLUS-s34s48 |       A3809 |           ABELL 3809 |   A3809 |                     | PSZ2 G356.04-49.50 |                 |          |                   |
|    90951 |  -33.02787 | -46.00519 | 0.062 | 352.84 |  3.76 |    False |   False |  SPLUS-s36s46 |             |          ABELL S0974 |         |                     |                    |                 |          |                   |
|    63778 |  -31.89284 |  -7.01187 | 0.060 |  49.87 |  1.31 |    False |   False |  SPLUS-s06s04 |             |                      |         |                     |                    |                 |          |                   |
|    68020 |  -31.68213 | -13.55376 | 0.060 |  41.88 |  5.68 |    False |    True |  SPLUS-s11s03 |             |                      |         |                     |                    |                 |          |                   |
|    63788 |  -30.62511 |  -7.83683 | 0.058 |  49.78 |  3.30 |    False |   False |  SPLUS-s07s05 |       A2399 |           ABELL 2399 |   A2399 |                     |                    |                 |          |                   |
|    76356 |  -29.55590 | -22.43558 | 0.069 |  30.31 |  3.31 |    False |   False |  SPLUS-s18s32 |             |          ABELL S0987 |         |                     |                    |                 |          |                   |
|    63763 |  -28.58566 |  -5.59461 | 0.058 |  53.97 |  5.65 |    False |    True |  SPLUS-s05s06 |             |           ABELL 2415 |   A2415 |                     | PSZ2 G053.99-45.06 |           A2415 |          |                   |
| 93264006 |  -28.52190 | -50.17595 | 0.009 | 345.29 |  0.22 |    False |   False |  SPLUS-s39s44 |             |                      |         |                     |                    |                 |          |                   |
| 93254501 |  -27.66222 | -47.17533 | 0.005 | 349.57 |  1.65 |     True |   False |  SPLUS-s36s49 |             |                      |         |                     |                    |                 |          |                   |
|    59360 |  -22.78201 |  -0.01331 | 0.058 |  65.37 |  5.51 |    False |    True | STRIPE82_0139 |             |                      |         |                     |                    |                 |          |                   |
|    59400 |  -21.07966 |   1.50616 | 0.058 |  68.67 |  5.26 |    False |    True | STRIPE82_0142 |             |           ABELL 2457 |   A2457 |                     | PSZ2 G068.61-46.60 |                 |          |                   |
| 93273701 |  -17.86173 | -58.48449 | 0.035 | 328.67 |  0.74 |    False |   False |  SPLUS-s45s41 |             |                      |         |                     |                    |                 |          |                   |
| 93245003 |  -17.66491 | -37.50274 | 0.028 |   3.19 |  0.55 |    False |   False |  SPLUS-s29s62 |             |          ABELL S1065 |         |                     |                    |                 |          |                   |
| 93245005 |  -13.65753 | -39.21537 | 0.003 | 357.45 |  0.10 |    False |   False |  SPLUS-s30s63 |             |           ABELL 3968 |         |                     |                    |                 |          |                   |
| 93254708 |  -11.52599 | -42.69971 | 0.004 | 348.42 |  0.77 |     True |   False |  SPLUS-s33s61 | Abell S1101 |          ABELL S1101 |         | ACT-CL J2313.9-4243 | PSZ2 G348.46-64.83 | RXCJ2313.9-4244 |    S1101 |                   |
| 93176202 |  -11.14655 |  -2.37067 | 0.024 |  75.96 |  0.88 |    False |   False |  SPLUS-s03s19 |             |                      |         |                     |                    |                 |          |                   |
|    87774 |  -10.23329 | -42.09974 | 0.057 | 348.49 |  2.40 |    False |   False |  SPLUS-s32s62 |             |          ABELL S1111 |         |                     |                    |        ACOS1111 |          |                   |
| 93292811 |   -7.83827 | -67.91637 | 0.013 | 314.24 |  0.27 |    False |   False |               |             |                      |         |                     |                    |                 |          |                   |
| 93216101 |   -3.86499 | -23.98526 | 0.047 |  40.99 |  0.83 |    False |   False |  SPLUS-s19s49 |             |                      |         |                     |                    |                 |          |                   |
| 93176401 |   -3.10525 |  -2.31764 | 0.022 |  88.58 |  0.63 |    False |   False |  SPLUS-s03s25 |             |                      |         |                     |                    |                 |          |                   |
| 93225827 |   -3.08190 | -28.14218 | 0.028 |  25.14 |  4.06 |    False |    True |  SPLUS-s22s48 |       A4038 |           ABELL 4038 |         |                     | PSZ2 G025.13-75.88 |           A4038 |    A4038 | MCXC J2347.7-2808 |
|    80518 |   -3.06306 | -28.14000 | 0.029 |  25.14 |  8.80 |     True |   False |  SPLUS-s22s48 |       A4038 |           ABELL 4038 |         |                     | PSZ2 G025.13-75.88 |           A4038 |    A4038 | MCXC J2347.7-2808 |
|    84067 |   -2.13681 | -34.47595 | 0.057 | 359.52 |  1.89 |    False |   False |  SPLUS-s27s73 |             |          ABELL S1157 |         |                     |                    |                 |          |                   |
|    84070 |   -0.74826 | -34.75619 | 0.049 | 356.39 | 11.00 |     True |   False |  SPLUS-s27s01 |       A4059 |           ABELL 4059 |   A4059 | ACT-CL J2357.0-3445 | PSZ2 G356.25-76.07 |           A4059 |    A4059 |                   |
|    80613 |    0.80680 | -35.92607 | 0.050 | 349.32 |  3.87 |    False |    True |  SPLUS-s28s01 |       A2717 |           ABELL 2717 |   A2717 |                     |                    |                 |          |                   |
| 93260109 |    1.41978 | -50.09994 | 0.034 | 320.74 |  0.86 |    False |   False |  SPLUS-s39s02 |             |                      |         |                     |                    |                 |          |                   |
| 93220122 |    2.81095 | -28.85968 | 0.061 |  19.55 |  3.89 |    False |   False |  SPLUS-s22s03 |             |           ABELL 2734 |   A2734 |                     | PSZ2 G019.48-80.97 |           A2734 |    A2734 |                   |
|    76711 |    2.82934 | -28.84798 | 0.061 |  19.61 |  6.12 |    False |    True |  SPLUS-s22s03 |             |           ABELL 2734 |   A2734 |                     | PSZ2 G019.48-80.97 |           A2734 |    A2734 |                   |
|    80579 |    6.37851 | -33.04490 | 0.050 | 344.81 |  4.34 |    False |    True |  SPLUS-s26s05 |       S0041 |          ABELL S0041 |         |                     | PSZ2 G344.99-81.88 |                 |          |                   |
| 93230112 |    6.37937 | -33.01798 | 0.051 | 344.94 |  2.87 |    False |   False |  SPLUS-s26s05 |       S0041 |          ABELL S0041 |         |                     | PSZ2 G344.99-81.88 |                 |          |                   |
|    55182 |    8.55185 |  -2.12715 | 0.065 | 112.83 |  2.90 |    False |   False |               |             |                      |         |                     | PSZ2 G113.02-64.68 | RXCJ0034.2-0204 |          |                   |
