|                name |        ra |       dec |     z |  gal_l |  mass | complete | lowmass |        S-PLUS | CHANCES |                   Abell | CODEX |               PSZ2 |         LoVoCCS | HIFLUGCS |           MeerKAT | WINGS |  m200 | c200 | r200 |  d200 |
| ACT-CL J0017.6-0052 |   4.41250 |  -0.88333 | 0.210 | 104.36 |  1.94 |    False |   False | STRIPE82_0007 |         |                         |       |                    |                 |          |                   |       |  2.78 | 4.11 | 1.28 |  6.04 |
| ACT-CL J0019.1-2026 |   4.77972 | -20.44603 | 0.277 |  73.34 |  6.64 |    False |    True |  SPLUS-s16s04 |         |             ABELL S0026 | 72468 | PSZ2 G073.38-80.01 |                 |          |                   |       |  9.51 | 4.16 | 1.88 |  7.21 |
| ACT-CL J0019.6+0336 |   4.91052 |   3.60856 | 0.266 | 107.70 | 10.19 |    False |    True |               |         |                         | 50690 | PSZ2 G107.66-58.32 |                 |          |                   |       | 14.50 | 4.33 | 2.18 |  8.59 |
| ACT-CL J0020.0+0351 |   5.01249 |   3.86246 | 0.278 | 108.00 |  2.10 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  3.03 | 4.07 | 1.29 |  4.92 |
| ACT-CL J0020.6-2543 |   5.17490 | -25.71730 | 0.141 |  42.79 |  8.26 |     True |   False |  SPLUS-s20s04 |         |              ABELL 0022 | 76675 | PSZ2 G042.81-82.97 |                 |          | MCXC J0020.7-2542 |       | 11.87 | 4.12 | 2.13 | 13.85 |
| ACT-CL J0021.0-2837 |   5.25511 | -28.62162 | 0.364 |  18.64 |  4.13 |    False |   False |  SPLUS-s22s04 |         |                         |       | PSZ2 G018.64-83.11 |                 |          |                   |       |  5.94 | 4.09 | 1.56 |  4.96 |
| ACT-CL J0022.1-4143 |   5.53960 | -41.73208 | 0.298 | 323.39 |  2.68 |    False |   False |  SPLUS-s32s04 |         |                         |       |                    |                 |          |                   |       |  3.86 | 4.05 | 1.38 |  5.04 |
| ACT-CL J0024.0-0444 |   6.02486 |  -4.74157 | 0.387 | 105.50 |  3.20 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  4.62 | 4.06 | 1.42 |  4.35 |
| ACT-CL J0024.6+0001 |   6.15515 |   0.03108 | 0.374 | 108.49 |  2.86 |    False |   False | STRIPE82_0010 |         |                         |       |                    |                 |          |                   |       |  4.12 | 4.05 | 1.37 |  4.30 |
| ACT-CL J0025.2-2612 |   6.32080 | -26.20422 | 0.452 |  40.44 |  3.63 |    False |   False |  SPLUS-s20s05 |         |                         |       |                    |                 |          |                   |       |  5.21 | 4.10 | 1.44 |  4.03 |
| ACT-CL J0025.4-5034 |   6.36644 | -50.57487 | 0.365 | 313.12 |  3.80 |    False |   False |  SPLUS-s39s04 |         |                         |       |                    |                 |          |                   |       |  5.47 | 4.08 | 1.51 |  4.82 |
| ACT-CL J0025.6-3147 |   6.42092 | -31.79167 | 0.434 | 351.63 |  2.69 |    False |   False |  SPLUS-s25s05 |         |                         |       |                    |                 |          |                   |       |  3.88 | 4.05 | 1.31 |  3.77 |
| ACT-CL J0026.6+0442 |   6.66193 |   4.70597 | 0.262 | 111.35 |  3.32 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  4.78 | 4.05 | 1.51 |  6.00 |
| ACT-CL J0026.7-1856 |   6.70000 | -18.94582 | 0.285 |  86.96 |  3.36 |    False |   False |  SPLUS-s15s06 |         |                         |       |                    |                 |          |                   |       |  4.83 | 4.05 | 1.50 |  5.63 |
| ACT-CL J0026.9-4845 |   6.73077 | -48.75136 | 0.090 | 313.70 |  2.67 |    False |    True |  SPLUS-s38s04 |         |                         |       |                    |                 |          |                   |       |  3.83 | 4.10 | 1.49 | 14.27 |
| ACT-CL J0026.9-0901 |   6.74269 |  -9.02737 | 0.338 | 104.08 |  4.68 |    False |   False |               |         |              ABELL 0032 | 64205 |                    |                 |          |                   |       |  6.72 | 4.11 | 1.64 |  5.48 |
| ACT-CL J0027.3-5014 |   6.83348 | -50.24587 | 0.145 | 312.60 |  3.00 |    False |   False |  SPLUS-s39s04 |         |              ABELL 2777 | 91211 | PSZ2 G312.63-66.40 |                 |          | MCXC J0027.3-5015 |       |  4.32 | 4.06 | 1.52 |  9.66 |
| ACT-CL J0027.4-4650 |   6.85797 | -46.83416 | 0.343 | 314.85 |  3.30 |    False |   False |  SPLUS-s36s05 |         |             ABELL S0050 |       |                    |                 |          |                   |       |  4.75 | 4.05 | 1.46 |  4.83 |
| ACT-CL J0027.6+0432 |   6.92086 |   4.53752 | 0.426 | 111.77 |  2.76 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  3.97 | 4.05 | 1.33 |  3.85 |
| ACT-CL J0028.2-4826 |   7.06234 | -48.43909 | 0.387 | 313.34 |  2.39 |    False |   False |  SPLUS-s37s05 |         |                         |       |                    |                 |          |                   |       |  3.45 | 4.04 | 1.29 |  3.95 |
| ACT-CL J0028.3+0316 |   7.08437 |   3.28221 | 0.362 | 111.66 |  2.66 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  3.83 | 4.04 | 1.35 |  4.31 |
| ACT-CL J0028.8-3934 |   7.22492 | -39.56869 | 0.192 | 322.15 |  2.02 |    False |   False |  SPLUS-s31s05 |         |                         |       |                    |                 |          |                   |       |  2.90 | 4.11 | 1.31 |  6.62 |
| ACT-CL J0029.0-3459 |   7.27165 | -34.98991 | 0.111 | 332.86 |  1.52 |    False |   False |  SPLUS-s27s05 |         |                         | 80677 |                    |                 |          |                   |       |  2.16 | 4.24 | 1.22 |  9.74 |
| ACT-CL J0029.8-1219 |   7.46241 | -12.32506 | 0.152 | 103.01 |  3.55 |    False |   False |               |         |              ABELL 0045 | 64250 |                    |                 |          |                   |       |  5.11 | 4.04 | 1.60 |  9.76 |
| ACT-CL J0030.0-2004 |   7.51113 | -20.08060 | 0.208 |  87.01 |  2.45 |    False |   False |  SPLUS-s16s06 |         |              ABELL 2781 |       | PSZ2 G086.85-81.39 |                 |          |                   |       |  3.53 | 4.07 | 1.39 |  6.59 |
| ACT-CL J0030.3-3424 |   7.59165 | -34.41251 | 0.249 | 333.47 |  2.29 |    False |   False |  SPLUS-s27s06 |         |              ABELL 2783 |       |                    |                 |          |                   |       |  3.29 | 4.07 | 1.34 |  5.54 |
| ACT-CL J0032.2+0100 |   8.06096 |   1.00557 | 0.387 | 112.84 |  2.41 |    False |   False | STRIPE82_0014 |         |                         |       |                    |                 |          |                   |       |  3.47 | 4.04 | 1.29 |  3.96 |
| ACT-CL J0032.5-2242 |   8.12912 | -22.70812 | 0.330 |  77.77 |  3.86 |    False |   False |  SPLUS-s18s07 |         |                         |       | PSZ2 G078.10-83.83 |                 |          |                   |       |  5.56 | 4.07 | 1.54 |  5.24 |
| ACT-CL J0032.5-0914 |   8.13757 |  -9.24999 | 0.130 | 108.04 |  2.80 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  4.03 | 4.08 | 1.49 | 10.38 |
| ACT-CL J0032.5-1932 |   8.13883 | -19.54057 | 0.350 |  92.22 |  4.30 |    False |   False |  SPLUS-s15s07 |         |                         |       |                    |                 |          |                   |       |  6.19 | 4.10 | 1.59 |  5.18 |
| ACT-CL J0033.8-5119 |   8.46250 | -51.33333 | 0.361 | 309.58 |  2.47 |    False |   False |  SPLUS-s40s05 |         |                         |       |                    |                 |          |                   |       |  3.56 | 4.04 | 1.31 |  4.21 |
| ACT-CL J0033.8-0751 |   8.47006 |  -7.86527 | 0.306 | 109.94 |  5.45 |    False |    True |               |         |              ABELL 0056 | 59790 | PSZ2 G109.99-70.28 |                 |          |                   |       |  7.83 | 4.13 | 1.75 |  6.25 |
| ACT-CL J0034.2+0212 |   8.57287 |   2.20390 | 0.416 | 114.24 |  3.38 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  4.86 | 4.08 | 1.43 |  4.19 |
| ACT-CL J0034.5+0225 |   8.62505 |   2.42285 | 0.388 | 114.40 |  8.12 |    False |    True |               |         |                         | 55117 | PSZ2 G114.39-60.16 |                 |          |                   |       | 11.52 | 4.36 | 1.92 |  5.89 |
| ACT-CL J0034.5-4318 |   8.63080 | -43.31605 | 0.396 | 313.79 |  2.71 |    False |   False |  SPLUS-s33s06 |         |                         |       |                    |                 |          |                   |       |  3.91 | 4.05 | 1.34 |  4.04 |
| ACT-CL J0034.7-3831 |   8.69435 | -38.53053 | 0.438 | 318.89 |  2.29 |    False |   False |  SPLUS-s30s06 |         |                         |       |                    |                 |          |                   |       |  3.31 | 4.04 | 1.24 |  3.55 |
| ACT-CL J0034.8-3411 |   8.70233 | -34.19854 | 0.397 | 328.72 |  2.84 |    False |   False |  SPLUS-s27s06 |         |                         |       |                    |                 |          |                   |       |  4.10 | 4.05 | 1.36 |  4.10 |
| ACT-CL J0034.9+0233 |   8.73847 |   2.56566 | 0.385 | 114.67 |  5.08 |    False |   False |               |         |                         | 55115 |                    |                 |          |                   |       |  7.28 | 4.16 | 1.65 |  5.09 |
| ACT-CL J0035.2-5456 |   8.82265 | -54.93342 | 0.336 | 307.88 |  3.01 |    False |   False |  SPLUS-s42s05 |         |                         |       |                    |                 |          |                   |       |  4.33 | 4.05 | 1.42 |  4.76 |
| ACT-CL J0035.4-2015 |   8.86008 | -20.26255 | 0.352 |  94.03 |  9.98 |    False |    True |  SPLUS-s16s07 |         |                         | 72538 | PSZ2 G093.93-82.22 |                 |          |                   |       | 14.11 | 4.43 | 2.09 |  6.80 |
| ACT-CL J0035.8+0020 |   8.97500 |   0.34590 | 0.254 | 114.56 |  2.41 |    False |   False | STRIPE82_0014 |         |                         |       |                    |                 |          |                   |       |  3.47 | 4.06 | 1.36 |  5.54 |
| ACT-CL J0036.3-3503 |   9.09994 | -35.05410 | 0.403 | 324.09 |  2.39 |    False |   False |  SPLUS-s27s07 |         |                         |       |                    |                 |          |                   |       |  3.45 | 4.04 | 1.28 |  3.83 |
| ACT-CL J0036.7-2105 |   9.18220 | -21.08543 | 0.356 |  93.11 |  3.50 |    False |   False |  SPLUS-s17s07 |         |                         |       |                    |                 |          |                   |       |  5.04 | 4.06 | 1.48 |  4.78 |
| ACT-CL J0038.3-0215 |   9.59431 |  -2.25100 | 0.416 | 115.21 |  2.39 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  3.44 | 4.04 | 1.27 |  3.74 |
| ACT-CL J0040.5-5858 |  10.13207 | -58.97880 | 0.382 | 305.59 |  3.61 |    False |   False |  SPLUS-s46s05 |         |                         |       |                    |                 |          |                   |       |  5.21 | 4.08 | 1.48 |  4.57 |
| ACT-CL J0040.8-4407 |  10.20687 | -44.13245 | 0.350 | 309.40 | 10.29 |    False |    True |  SPLUS-s34s06 |         |                         | 87887 | PSZ2 G309.43-72.86 |                 |          |                   |       | 14.56 | 4.45 | 2.11 |  6.90 |
| ACT-CL J0040.9-4428 |  10.24686 | -44.48031 | 0.349 | 309.15 |  6.22 |    False |    True |  SPLUS-s34s06 |         |             ABELL S0067 | 87891 |                    |                 |          |                   |       |  8.91 | 4.20 | 1.79 |  5.88 |
| ACT-CL J0041.1-3324 |  10.29061 | -33.40778 | 0.430 | 321.75 |  3.06 |    False |   False |  SPLUS-s26s07 |         |                         |       |                    |                 |          |                   |       |  4.40 | 4.07 | 1.37 |  3.96 |
| ACT-CL J0041.4-3329 |  10.35409 | -33.48753 | 0.419 | 321.10 |  2.64 |    False |   False |  SPLUS-s26s07 |         |                         |       |                    |                 |          |                   |       |  3.80 | 4.05 | 1.31 |  3.84 |
| ACT-CL J0042.1-2832 |  10.52881 | -28.53339 | 0.109 | 358.11 |  6.49 |     True |   False |  SPLUS-s22s08 |         |              ABELL 2811 | 76783 | PSZ2 G358.21-87.49 |           A2811 |          | MCXC J0042.1-2832 |       |  9.34 | 4.06 | 1.99 | 16.18 |
| ACT-CL J0042.4-3809 |  10.61596 | -38.15774 | 0.220 | 312.06 |  3.36 |    False |   False |  SPLUS-s30s07 |         |              ABELL 2812 | 84162 | PSZ2 G311.91-78.80 |                 |          |                   |       |  4.83 | 4.04 | 1.54 |  6.99 |
| ACT-CL J0043.3-2037 |  10.84800 | -20.62094 | 0.292 | 106.73 | 10.20 |    False |    True |  SPLUS-s16s09 |         |              ABELL 2813 | 72544 | PSZ2 G106.87-83.23 |                 |          | MCXC J0043.4-2037 |       | 14.47 | 4.36 | 2.15 |  7.95 |
| ACT-CL J0044.4+0150 |  11.11671 |   1.83589 | 0.358 | 119.34 |  4.75 |    False |   False |               |         |                         | 55120 |                    |                 |          |                   |       |  6.82 | 4.12 | 1.63 |  5.27 |
| ACT-CL J0044.5-3201 |  11.12567 | -32.01921 | 0.405 | 319.64 |  3.44 |    False |   False |  SPLUS-s25s08 |         |                         |       |                    |                 |          |                   |       |  4.96 | 4.08 | 1.44 |  4.31 |
| ACT-CL J0045.3-2923 |  11.34439 | -29.38894 | 0.256 | 333.13 |  3.22 |    False |   False |  SPLUS-s23s08 |         |                         |       |                    |                 |          |                   |       |  4.64 | 4.04 | 1.49 |  6.07 |
| ACT-CL J0047.2-4507 |  11.82030 | -45.11673 | 0.451 | 305.30 |  4.00 |    False |   False |  SPLUS-s35s07 |         |                         | 87897 |                    |                 |          |                   |       |  5.75 | 4.13 | 1.49 |  4.17 |
| ACT-CL J0047.7-1033 |  11.93338 | -10.56667 | 0.185 | 119.74 |  3.62 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  5.22 | 4.04 | 1.60 |  8.32 |
| ACT-CL J0047.9-3826 |  11.99578 | -38.44578 | 0.271 | 306.37 |  2.49 |    False |   False |  SPLUS-s30s08 |         |              ABELL 2822 |       |                    |                 |          |                   |       |  3.59 | 4.05 | 1.36 |  5.31 |
| ACT-CL J0049.0-4729 |  12.25271 | -47.49269 | 0.391 | 304.11 |  2.72 |    False |   False |  SPLUS-s37s07 |         |                         |       |                    |                 |          |                   |       |  3.92 | 4.05 | 1.34 |  4.09 |
| ACT-CL J0050.2-4741 |  12.55409 | -47.69665 | 0.390 | 303.52 |  3.31 |    False |   False |  SPLUS-s37s07 |         |             ABELL S0086 |       |                    |                 |          |                   |       |  4.76 | 4.07 | 1.43 |  4.37 |
| ACT-CL J0050.5-1730 |  12.63333 | -17.51246 | 0.389 | 121.64 |  3.79 |    False |   False |  SPLUS-s14s10 |         |                         |       |                    |                 |          |                   |       |  5.46 | 4.09 | 1.50 |  4.59 |
| ACT-CL J0051.1-4834 |  12.79027 | -48.58105 | 0.187 | 303.06 |  3.42 |    False |   False |  SPLUS-s38s07 |         |              ABELL 2830 | 91247 | PSZ2 G303.03-68.49 |                 |          | MCXC J0051.1-4833 |       |  4.93 | 4.04 | 1.56 |  8.06 |
| ACT-CL J0051.8-0846 |  12.95420 |  -8.78333 | 0.191 | 123.23 |  2.46 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  3.54 | 4.08 | 1.40 |  7.11 |
| ACT-CL J0052.5-5657 |  13.13855 | -56.95761 | 0.313 | 302.63 |  3.24 |    False |   False |  SPLUS-s44s06 |         |                         |       |                    |                 |          |                   |       |  4.66 | 4.05 | 1.47 |  5.16 |
| ACT-CL J0052.5+0141 |  13.14717 |   1.69428 | 0.446 | 123.53 |  2.46 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  3.55 | 4.05 | 1.27 |  3.58 |
| ACT-CL J0052.7-4551 |  13.19506 | -45.86075 | 0.358 | 302.20 |  3.55 |    False |   False |  SPLUS-s35s08 |         |                         |       |                    |                 |          |                   |       |  5.12 | 4.07 | 1.48 |  4.78 |
| ACT-CL J0053.5+0329 |  13.39120 |   3.49726 | 0.421 | 123.97 |  3.50 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  5.05 | 4.09 | 1.44 |  4.21 |
| ACT-CL J0054.3-4046 |  13.58758 | -40.77500 | 0.407 | 300.60 |  2.52 |    False |   False |  SPLUS-s31s09 |         |                         |       |                    |                 |          |                   |       |  3.63 | 4.04 | 1.30 |  3.86 |
| ACT-CL J0055.7-1054 |  13.92736 | -10.90476 | 0.413 | 126.68 |  4.27 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  6.14 | 4.13 | 1.54 |  4.55 |
| ACT-CL J0056.0-3732 |  14.00823 | -37.54599 | 0.163 | 297.91 |  3.71 |    False |   False |  SPLUS-s29s09 |         |             ABELL S0102 |       |                    |                 |          |                   |       |  5.35 | 4.04 | 1.62 |  9.37 |
| ACT-CL J0057.3-5223 |  14.34445 | -52.38888 | 0.344 | 300.81 |  2.91 |    False |   False |  SPLUS-s40s08 |         |             ABELL S0110 |       |                    |                 |          |                   |       |  4.20 | 4.05 | 1.40 |  4.62 |
| ACT-CL J0059.1-4955 |  14.79467 | -49.92581 | 0.442 | 299.72 |  2.97 |    False |   False |  SPLUS-s39s08 |         |                         |       |                    |                 |          |                   |       |  4.27 | 4.06 | 1.35 |  3.83 |
| ACT-CL J0059.4+0343 |  14.86501 |   3.72495 | 0.272 | 126.83 |  2.16 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  3.11 | 4.07 | 1.30 |  5.06 |
| ACT-CL J0100.2+0151 |  15.05078 |   1.85290 | 0.401 | 127.44 |  2.67 |    False |   False |               |         |                         |       |                    |                 |          |                   |       |  3.85 | 4.05 | 1.33 |  3.99 |
| ACT-CL J0100.5-4749 |  15.12766 | -47.81760 | 0.423 | 298.63 |  3.05 |    False |   False |  SPLUS-s37s09 |         |                         |       |                    |                 |          |                   |       |  4.40 | 4.06 | 1.38 |  4.00 |
| ACT-CL J0100.9-4448 |  15.24024 | -44.80862 | 0.378 | 297.39 |  3.21 |    False |   False |  SPLUS-s35s09 |         |                         |       |                    |                 |          |                   |       |  4.62 | 4.06 | 1.42 |  4.44 |
| ACT-CL J0101.6+0236 |  15.41739 |   2.60850 | 0.326 | 128.07 |  2.92 |    False |   False |               |         |                         | 55206 |                    |                 |          |                   |       |  4.21 | 4.05 | 1.41 |  4.83 |
| ACT-CL J0101.6-3840 |  15.42469 | -38.67418 | 0.258 | 293.05 |  3.49 |    False |   False |  SPLUS-s30s10 |         |              ABELL 2856 |       |                    |                 |          |                   |       |  5.03 | 4.05 | 1.54 |  6.20 |
| ACT-CL J0102.7+0108 |  15.68014 |   1.13817 | 0.143 | 128.87 |  3.00 |    False |   False | STRIPE82_0024 |         |                         | 55229 |                    |                 |          |                   |       |  4.32 | 4.06 | 1.52 |  9.76 |
| ACT-CL J0102.8-0022 |  15.71685 |  -0.36685 | 0.416 | 129.26 |  2.83 |    False |   False | STRIPE82_0023 |         |                         |       |                    |                 |          |                   |       |  4.08 | 4.05 | 1.35 |  3.95 |
| ACT-CL J0102.8+0005 |  15.72224 |   0.09438 | 0.357 | 129.17 |  2.40 |    False |   False | STRIPE82_0024 |         |                         |       |                    |                 |          |                   |       |  3.46 | 4.04 | 1.30 |  4.21 |
| ACT-CL J0103.8-0103 |  15.95413 |  -1.05413 | 0.289 | 129.94 |  2.47 |    False |   False | STRIPE82_0023 |         |                         |       |                    |                 |          |                   |       |  3.55 | 4.05 | 1.35 |  5.03 |
| ACT-CL J0104.5-3312 |  16.13333 | -33.20419 | 0.282 | 278.76 |  2.48 |    False |   False |  SPLUS-s26s11 |         |                         |       |                    |                 |          |                   |       |  3.58 | 4.05 | 1.36 |  5.13 |
