|     name |         Cluster Name |         ra |       dec |     z |  gal_l |  mass | complete | lowmass | r200 |   d200 | N_SPLUS | f_SPLUS |        S-PLUS |     CHANCES |                Abell |   WINGS |             ACT-DR5 |               PSZ2 |         LoVoCCS | HIFLUGCS |           MeerKAT |
| 93203508 |              NGC5044 | -161.15740 | -16.39033 | 0.007 | 311.22 |  1.28 |     True |   False | 1.06 | 120.18 |     178 |    14.1 |  SPLUS-n13s35 |     NGC5044 |                      |         |                     |                    |                 |  NGC5044 |                   |
| 93223005 |             93223005 | -178.49093 | -29.63574 | 0.007 | 291.27 |  0.20 |    False |    True | 0.57 |  60.33 |       5 |     1.6 |               |             |                      |         |                     |                    |                 |          |                   |
| 93213901 |             93213901 | -130.35826 | -24.12200 | 0.008 | 341.03 |  0.24 |    False |    True | 0.61 |  61.90 |       3 |     0.9 |               |             |                      |         |                     |                    |                 |          |                   |
| 93264006 |          ABELL S0989 |  -28.52190 | -50.17595 | 0.009 | 345.29 |  0.22 |    False |   False | 0.59 |  51.14 |      34 |    14.9 |  SPLUS-s39s44 |             |          ABELL S0989 |         |                     |                    |                 |          |                   |
| 93263719 |          ABELL S0851 |  -57.57543 | -48.60883 | 0.009 | 350.64 |  0.82 |    False |    True | 0.91 |  78.67 |       0 |     0.0 |               |             |          ABELL S0851 |         |                     |                    |                 |          |                   |
| 93203505 |             93203505 | -160.16428 | -15.58468 | 0.009 | 312.76 |  0.17 |    False |   False | 0.54 |  45.48 |      26 |    14.4 |  SPLUS-n13s36 |             |                      |         |                     |                    |                 |          |                   |
| 93242901 |             93242901 | -164.32574 | -41.63104 | 0.009 | 305.19 |  0.28 |    False |    True | 0.64 |  52.94 |       0 |     0.0 |               |             |                      |         |                     |                    |                 |          |                   |
| 93222510 |              NGC3078 |  149.54521 | -26.97233 | 0.010 | 261.77 |  0.19 |    False |   False | 0.57 |  45.75 |      10 |     5.5 |    HYDRA_0030 |     NGC3078 |                      |         |                     |                    |                 |          |                   |
| 93183401 |             93183401 | -170.06662 |  -5.35906 | 0.010 | 297.52 |  1.84 |     True |   False | 1.20 |  93.07 |     102 |    13.5 |  SPLUS-n05s30 |             |                      |         |                     |                    |                 |          |                   |
| 93201631 |           ABELL 0551 |   88.66778 | -17.74127 | 0.011 | 223.05 |  0.24 |    False |   False | 0.61 |  44.82 |       0 |     0.0 |               |             |           ABELL 0551 |         |                     | PSZ2 G223.04-20.27 |                 |          |                   |
| 93242801 |                A3526 | -167.77749 | -41.31311 | 0.011 | 302.42 |  3.25 |     True |   False | 1.45 | 105.21 |       0 |     0.0 |               |       A3526 |    Centaurus Cluster |         |                     | PSZ2 G302.41+21.60 |                 |    A3526 | MCXC J1248.7-4118 |
| 93252706 |             93252706 | -161.23018 | -42.61432 | 0.012 | 307.56 |  1.19 |    False |    True | 1.03 |  70.16 |       0 |     0.0 |               |             |                      |         |                     |                    |                 |          |                   |
| 93213809 |             93213809 | -138.09494 | -22.17839 | 0.012 | 335.45 |  0.43 |    False |    True | 0.74 |  48.04 |      27 |    13.4 |  SPLUS-n17s50 |             |                      |         |                     |                    |                 |          |                   |
| 93171208 |              NGC1550 |   64.90373 |   2.40608 | 0.012 | 190.98 |  1.63 |    False |    True | 1.15 |  74.77 |       2 |     0.4 |               |     NGC1550 |                      |         |                     |                    |                 |  NGC1550 |                   |
| 93160236 |             93160236 |    9.86924 |   3.81206 | 0.012 | 117.14 |  0.20 |    False |   False | 0.57 |  36.75 |       0 |     0.0 |               |             |                      |         |                     |                    |                 |          |                   |
| 93242707 |             93242707 | -173.52197 | -38.33039 | 0.012 | 297.44 |  0.32 |    False |   False | 0.67 |  42.27 |       0 |     0.0 |               |             |                      |         |                     |                    |                 |          |                   |
| 93191415 |             93191415 |   74.93007 | -10.88018 | 0.013 | 210.18 |  0.22 |    False |   False | 0.59 |  37.16 |       1 |     0.8 |               |             |                      |         |                     |                    |                 |          |                   |
| 93292811 |             93292811 |   -7.83827 | -67.91637 | 0.013 | 314.24 |  0.27 |    False |   False | 0.63 |  39.16 |       0 |     0.0 |               |             |                      |         |                     |                    |                 |          |                   |
| 93242821 |             93242821 | -171.00266 | -39.90034 | 0.013 | 299.72 |  0.43 |    False |    True | 0.73 |  45.58 |       0 |     0.0 |               |             |                      |         |                     |                    |                 |          |                   |
| 93175729 |              IIZW108 |  -41.44187 |   2.54641 | 0.013 |  53.56 |  0.80 |    False |    True | 0.90 |  55.65 |      11 |     4.1 |               |             |                      | IIZW108 | ACT-CL J2114.7+0232 | PSZ2 G053.55-29.85 |                 |  IIZw108 |                   |
| 93170229 |  ACT-CL J0038.6+0044 |    9.67768 |   0.63147 | 0.013 | 116.13 |  0.13 |    False |   False | 0.50 |  30.75 |       6 |     7.3 | STRIPE82_0016 |             |                      |         | ACT-CL J0038.6+0044 |                    |                 |          |                   |
| 93162401 |           ABELL 0732 |  134.55830 |   3.23956 | 0.013 | 225.47 |  0.37 |    False |   False | 0.70 |  41.96 |       0 |     0.0 |               |             |           ABELL 0732 |         | ACT-CL J0857.8+0310 | PSZ2 G225.48+29.41 |                 |          |                   |
| 93301905 |             93301905 |  -55.13340 | -70.75129 | 0.013 | 324.23 |  0.26 |    False |   False | 0.62 |  37.13 |       0 |     0.0 |               |             |                      |         |                     |                    |                 |          |                   |
| 93181403 |             93181403 |   74.61900 |  -7.82252 | 0.013 | 206.87 |  0.24 |    False |   False | 0.60 |  35.79 |       1 |     0.9 |               |             |                      |         |                     |                    |                 |          |                   |
| 93181005 |  ACT-CL J0343.1-0435 |   55.41596 |  -4.69056 | 0.013 | 191.69 |  0.45 |    False |    True | 0.75 |  44.20 |       0 |     0.0 |               |             |                      |         | ACT-CL J0343.1-0435 |                    |                 |          |                   |
| 93270904 |          ABELL S0520 |   79.05867 | -54.43156 | 0.014 | 262.15 |  0.45 |    False |    True | 0.75 |  43.78 |       3 |     1.8 |               |             |          ABELL S0520 |         | ACT-CL J0516.6-5430 | PSZ2 G262.27-35.38 |                 |          | MCXC J0516.6-5430 |
| 93181441 |           ABELL 0531 |   75.06671 |  -3.48584 | 0.014 | 202.78 |  0.28 |    False |   False | 0.64 |  36.84 |       0 |     0.0 |               |             |           ABELL 0531 |         |                     | PSZ2 G202.61-26.26 |                 |          |                   |
| 93171413 |             93171413 |   74.57499 |   0.45213 | 0.014 | 198.72 |  1.31 |    False |    True | 1.07 |  61.08 |       0 |     0.0 |               |             |                      |         |                     |                    |                 |          |                   |
| 93222625 |                Hydra |  159.19658 | -27.51791 | 0.014 | 269.61 |  2.52 |     True |   False | 1.33 |  74.83 |      65 |    13.3 |    HYDRA_0045 |       Hydra |        Hydra Cluster |         |                     |                    |                 |    A1060 |                   |
| 93192606 |   PSZ2 G244.12+26.12 |  141.40188 | -12.46681 | 0.014 | 244.52 |  0.18 |    False |   False | 0.55 |  31.27 |       1 |     1.2 |               |             |                      |         |                     | PSZ2 G244.12+26.12 |                 |          |                   |
| 93202701 |          ABELL S0623 |  150.47119 | -19.47187 | 0.014 | 256.95 |  0.38 |    False |   False | 0.70 |  38.58 |      10 |     7.7 |  SPLUS-n15s01 |             |          ABELL S0623 |         |                     |                    |                 |          |                   |
| 93233312 |          ABELL S0753 | -149.08703 | -33.95983 | 0.015 | 319.63 |  0.78 |    False |    True | 0.90 |  48.55 |       0 |     0.0 |               |             |          ABELL S0753 |         |                     | PSZ2 G319.16+26.63 |                 |          |                   |
| 93203406 |               A1631a | -166.75489 | -15.28876 | 0.015 | 303.48 |  0.54 |    False |    True | 0.79 |  42.56 |      22 |    13.9 |  SPLUS-n12s31 |      A1631a |           ABELL 1631 |  A1631a |                     | PSZ2 G303.56+47.54 |                 |          |                   |
| 93171301 |             93171301 |   69.44657 |  -2.53387 | 0.015 | 198.70 |  1.19 |    False |    True | 1.03 |  55.44 |       0 |     0.0 |               |             |                      |         |                     |                    |                 |          |                   |
| 93282601 |          ABELL S0805 |  -78.05425 | -63.35348 | 0.015 | 332.24 |  0.74 |    False |    True | 0.88 |  46.67 |       0 |     0.0 |               |             |          ABELL S0805 |         |                     | PSZ2 G332.29-23.57 |                 |          |                   |
| 93181310 |             93181310 |   72.94197 |  -3.78351 | 0.015 | 201.93 |  0.61 |    False |    True | 0.83 |  43.50 |       0 |     0.0 |               |             |                      |         |                     |                    |                 |          |                   |
| 93282608 |             93282608 |  -78.35845 | -62.25645 | 0.015 | 333.37 |  0.80 |    False |    True | 0.90 |  47.33 |       0 |     0.0 |               |             |                      |         |                     |                    |                 |          |                   |
| 93180606 |             93180606 |   33.06707 |  -7.50359 | 0.015 | 170.96 |  0.26 |    False |   False | 0.62 |  31.95 |       0 |     0.0 |               |             |                      |         |                     |                    |                 |          |                   |
| 93181313 |           ABELL 0491 |   67.75360 |  -4.93323 | 0.015 | 200.16 |  0.44 |    False |   False | 0.74 |  38.06 |       0 |     0.0 |               |             |           ABELL 0491 |         |                     |                    |                 |          |                   |
| 93193506 |             93193506 | -166.96974 | -13.44804 | 0.016 | 303.19 |  1.10 |    False |    True | 1.01 |  51.03 |      33 |    14.5 |  SPLUS-n11s32 |             |                      |         |                     |                    |                 |          |                   |
| 93254302 |           ABELL 3756 |  -41.03405 | -42.59084 | 0.016 | 358.71 |  0.35 |    False |   False | 0.69 |  34.71 |      15 |    14.3 |  SPLUS-s33s45 |             |           ABELL 3756 |         |                     |                    |                 |          |                   |
| 93193502 |           ABELL 1635 | -166.74970 |  -9.17759 | 0.016 | 303.58 |  0.83 |    False |    True | 0.91 |  45.79 |      25 |    13.7 |  SPLUS-n08s32 |             |           ABELL 1635 |         |                     |                    |                 |          |                   |
| 93193503 |             93193503 | -166.77876 | -10.43772 | 0.016 | 303.52 |  0.46 |    False |   False | 0.75 |  37.56 |      17 |    13.8 |  SPLUS-n09s32 |             |                      |         |                     |                    |                 |          |                   |
| 93282701 |             93282701 |  -73.43327 | -62.26643 | 0.016 | 333.89 |  0.62 |    False |    True | 0.83 |  41.13 |       0 |     0.0 |               |             |                      |         |                     |                    |                 |          |                   |
| 93223401 |           ABELL 3574 | -152.72198 | -30.32663 | 0.016 | 317.44 |  3.16 |     True |   False | 1.43 |  70.72 |       8 |     1.8 |               |             |           ABELL 3574 |         |                     |                    |                 |          |                   |
| 93170309 |  ACT-CL J0103.8-0103 |   16.07449 |  -0.75861 | 0.016 | 130.14 |  0.28 |    False |   False | 0.64 |  31.51 |       8 |     9.2 | STRIPE82_0023 |             |                      |         | ACT-CL J0103.8-0103 |                    |                 |          |                   |
| 93280853 |          ABELL S0524 |   80.64996 | -61.49459 | 0.016 | 270.67 |  0.51 |    False |   False | 0.78 |  38.39 |       5 |     3.9 |               |             |          ABELL S0524 |         |                     |                    |                 |          |                   |
| 93171419 |             93171419 |   74.75178 |  -0.35879 | 0.016 | 199.59 |  0.49 |    False |   False | 0.77 |  37.34 |       0 |     0.0 |               |             |                      |         |                     |                    |                 |          |                   |
| 93250901 |             93250901 |   67.05966 | -47.99597 | 0.016 | 254.59 |  0.27 |    False |   False | 0.63 |  30.26 |      10 |    12.5 |  SPLUS-s37s35 |             |                      |         |                     |                    |                 |          |                   |
| 93254303 |          ABELL S0919 |  -43.92330 | -43.40990 | 0.017 | 357.64 |  0.45 |    False |   False | 0.75 |  35.37 |      11 |    10.1 |  SPLUS-s33s43 |             |          ABELL S0919 |         | ACT-CL J2103.4-4321 | PSZ2 G357.75-41.77 |                 |          |                   |
| 93202718 |             93202718 |  151.64981 | -15.94998 | 0.017 | 255.13 |  0.20 |    False |   False | 0.57 |  27.07 |       8 |    12.5 |  SPLUS-n13s02 |             |                      |         |                     |                    |                 |          |                   |
| 93170201 |             93170201 |   10.57892 |  -1.46338 | 0.017 | 117.68 |  0.18 |    False |   False | 0.55 |  25.99 |       2 |     3.4 |               |             |                      |         |                     |                    |                 |          |                   |
| 93180503 |  ACT-CL J0152.4-0829 |   27.88688 |  -8.42231 | 0.017 | 162.97 |  0.26 |    False |   False | 0.62 |  28.97 |       0 |     0.0 |               |             |                      |         | ACT-CL J0152.4-0829 |                    |                 |          |                   |
| 93170401 |           ABELL 0194 |   21.46060 |  -1.40234 | 0.017 | 142.15 |  0.73 |    False |    True | 0.88 |  40.32 |       8 |     5.6 | STRIPE82_0031 |             |           ABELL 0194 |         | ACT-CL J0125.6-0143 |                    |                 |          | MCXC J0125.6-0124 |
| 93170407 |           ABELL 0189 |   21.45023 |   1.80481 | 0.018 | 140.25 |  0.59 |    False |   False | 0.82 |  37.03 |       7 |     5.9 |               |             |           ABELL 0189 |         |                     |                    |                 |          |                   |
| 93311301 |    MCXC J1840.6-7709 |  -79.84380 | -77.18339 | 0.018 | 317.18 |  1.31 |    False |    True | 1.06 |  46.40 |       0 |     0.0 |               |             |                      |         |                     |                    |                 |          | MCXC J1840.6-7709 |
| 93244401 |             93244401 |  -55.49456 | -41.09327 | 0.018 | 359.74 |  0.89 |    False |    True | 0.94 |  40.84 |       0 |     0.0 |               |             |                      |         |                     |                    |                 |          |                   |
| 93230304 |          ABELL S0141 |   18.30241 | -31.85599 | 0.018 | 259.18 |  0.67 |    False |   False | 0.85 |  36.94 |      16 |    13.4 |  SPLUS-s25s12 |             |          ABELL S0141 |         |                     |                    |                 |          |                   |
| 93300501 |   PSZ2 G287.96-32.99 |   74.48485 | -75.44926 | 0.019 | 287.61 |  1.41 |    False |    True | 1.09 |  46.35 |      14 |     7.5 |        MC0146 |             |                      |         |                     | PSZ2 G287.96-32.99 |                 |          |                   |
| 93192605 |             93192605 |  144.19460 | -11.51425 | 0.019 | 245.65 |  0.32 |    False |   False | 0.67 |  27.74 |       0 |     0.0 |               |             |                      |         |                     |                    |                 |          |                   |
| 93224901 |             93224901 |  -62.03921 | -30.84475 | 0.019 |   9.79 |  0.64 |    False |   False | 0.84 |  34.30 |       0 |     0.0 |               |             |                      |         |                     |                    |                 |          |                   |
| 93244409 |           ABELL 3656 |  -59.77626 | -38.61588 | 0.020 |   1.87 |  0.49 |    False |   False | 0.77 |  31.22 |       0 |     0.0 |               |             |           ABELL 3656 |         |                     |                    |                 |          |                   |
| 93181003 |  ACT-CL J0325.5-0359 |   51.36618 |  -3.90908 | 0.020 | 187.50 |  0.32 |    False |   False | 0.67 |  26.62 |       0 |     0.0 |               |             |                      |         | ACT-CL J0325.5-0359 |                    |                 |          |                   |
| 93173203 |             93173203 |  179.49561 |  -2.26903 | 0.021 | 277.17 |  0.42 |    False |   False | 0.73 |  27.92 |       9 |    13.2 |  SPLUS-n03s22 |             |                      |         |                     |                    |                 |          |                   |
| 93300707 |           ABELL 3405 |  101.22639 | -74.54915 | 0.021 | 285.62 |  0.51 |    False |   False | 0.78 |  29.71 |       2 |     2.6 |               |             |           ABELL 3405 |         |                     | PSZ2 G285.80-26.46 |                 |          |                   |
| 93193215 |           ABELL 1332 |  174.75591 |  -9.32429 | 0.021 | 274.73 |  0.33 |    False |   False | 0.67 |  25.52 |       7 |    12.3 |  SPLUS-n08s18 |             |           ABELL 1332 |         |                     |                    |                 |          |                   |
| 93173309 |                 MKW4 | -178.88105 |   1.90795 | 0.021 | 276.91 |  1.58 |    False |    True | 1.13 |  43.14 |      22 |    13.5 |     MKW4_need |        MKW4 |                      |         | ACT-CL J1205.5+0214 |                    |                 |     MKW4 |                   |
| 93170702 |             93170702 |   37.97483 |   1.22547 | 0.021 | 167.43 |  0.56 |    False |   False | 0.80 |  30.14 |       5 |     6.3 | STRIPE82_0056 |             |                      |         |                     |                    |                 |          |                   |
| 93250303 |                A2877 |   17.07226 | -46.87614 | 0.022 | 294.50 |  0.56 |    False |   False | 0.80 |  29.36 |      13 |    17.3 |  SPLUS-s36s10 |       A2877 |           ABELL 2870 |         | ACT-CL J0108.5-4659 |                    |                 |          |                   |
| 93176401 |  ACT-CL J2349.1-0227 |   -3.10525 |  -2.31764 | 0.022 |  88.58 |  0.63 |    False |   False | 0.83 |  30.29 |      14 |    17.5 |  SPLUS-s03s25 |             |                      |         | ACT-CL J2349.1-0227 |                    |                 |          |                   |
|    79221 |                A3581 | -148.13255 | -27.01646 | 0.022 | 323.14 |  7.08 |     True |   False | 1.87 |  67.92 |      24 |     6.0 |               |       A3581 |           ABELL 3581 |         |                     |                    |                 |    A3581 |                   |
| 93182708 |             93182708 |  147.37211 |  -5.18916 | 0.022 | 242.25 |  0.54 |    False |   False | 0.79 |  28.63 |       0 |     0.0 |               |             |                      |         |                     |                    |                 |          |                   |
| 93290701 |             93290701 |   84.92650 | -68.27590 | 0.022 | 278.49 |  1.26 |    False |    True | 1.05 |  37.92 |      19 |    15.1 |        MC0041 |             |                      |         |                     |                    |                 |          |                   |
| 93220701 |        IC 1860 GROUP |   42.39926 | -31.07239 | 0.022 | 228.74 |  0.95 |    False |    True | 0.96 |  34.21 |      11 |    10.8 |  SPLUS-s24s28 |             |        IC 1860 GROUP |         | ACT-CL J0250.0-3103 |                    |                 |          |                   |
| 93170801 |             93170801 |   43.23590 |  -1.27971 | 0.022 | 176.48 |  1.04 |    False |    True | 0.99 |  35.09 |       8 |     7.4 | STRIPE82_0063 |             |                      |         |                     |                    |                 |          |                   |
| 93163302 |           ABELL 1463 | -178.98261 |   3.99877 | 0.023 | 274.82 |  0.71 |    False |   False | 0.87 |  30.63 |      11 |    13.4 |  SPLUS-n04n23 |             |           ABELL 1463 |         |                     |                    |                 |          |                   |
| 93223508 |                A3581 | -148.09122 | -27.02720 | 0.023 | 323.18 |  2.36 |    False |    True | 1.30 |  45.72 |      10 |     5.5 |               |       A3581 |           ABELL 3581 |         |                     |                    |                 |    A3581 |                   |
|    81011 |        IC 1860 GROUP |   42.39088 | -31.19179 | 0.023 | 229.01 |  1.93 |    False |    True | 1.21 |  42.39 |      14 |     8.9 |  SPLUS-s24s28 |             |        IC 1860 GROUP |         | ACT-CL J0250.0-3103 |                    |                 |          |                   |
|    87995 |           ABELL 2870 |   16.93338 | -46.90089 | 0.023 | 294.78 |  4.22 |    False |    True | 1.57 |  54.86 |      39 |    14.8 |  SPLUS-s36s10 |             |           ABELL 2870 |         | ACT-CL J0108.5-4659 |                    |                 |          |                   |
| 93271023 |             93271023 |   85.63154 | -55.71497 | 0.023 | 263.71 |  1.50 |    False |    True | 1.11 |  38.16 |       0 |     0.0 |               |             |                      |         |                     |                    |                 |          |                   |
| 93223516 |          ABELL S0761 | -145.31825 | -27.52124 | 0.023 | 325.67 |  0.88 |    False |   False | 0.93 |  31.80 |       2 |     2.3 |               |             |          ABELL S0761 |         |                     |                    |                 |          |                   |
| 93250301 |                A2877 |   17.47040 | -45.89580 | 0.023 | 293.10 |  1.45 |    False |    True | 1.10 |  37.53 |      18 |    14.6 |    A2877_need |       A2877 |           ABELL 2877 |         |                     | PSZ2 G293.12-70.85 |                 |    A2877 |                   |
|    87978 |                A2877 |   17.46842 | -45.90129 | 0.023 | 293.11 |  1.81 |    False |    True | 1.18 |  40.31 |      21 |    14.8 |    A2877_need |       A2877 |           ABELL 2877 |         |                     | PSZ2 G293.12-70.85 |                 |    A2877 |                   |
|    87980 |                A2877 |   17.71872 | -46.00290 | 0.024 | 292.66 |  4.19 |    False |    True | 1.57 |  53.16 |      35 |    14.2 |    A2877_need |       A2877 |           ABELL 2877 |         | ACT-CL J0112.3-4617 | PSZ2 G293.12-70.85 |                 |    A2877 |                   |
| 93203611 |           ABELL 1725 | -159.37158 | -17.16138 | 0.024 | 313.47 |  0.83 |    False |   False | 0.91 |  30.65 |      12 |    14.6 |  SPLUS-n14s37 |             |           ABELL 1725 |         |                     |                    |                 |          |                   |
| 93176202 |             93176202 |  -11.14655 |  -2.37067 | 0.024 |  75.96 |  0.88 |    False |   False | 0.93 |  31.29 |      13 |    15.2 |  SPLUS-s03s19 |             |                      |         |                     |                    |                 |          |                   |
| 93224801 |             93224801 |  -67.89451 | -29.48041 | 0.024 |   9.40 |  0.81 |    False |   False | 0.91 |  30.26 |       0 |     0.0 |               |             |                      |         |                     |                    |                 |          |                   |
| 93213307 |             93213307 | -165.32460 | -21.89460 | 0.024 | 305.16 |  0.68 |    False |   False | 0.85 |  28.19 |       9 |    13.0 |  SPLUS-n17s31 |             |                      |         |                     |                    |                 |          |                   |
| 93260205 |  ACT-CL J0057.3-5223 |   14.20661 | -52.86947 | 0.025 | 301.06 |  0.53 |    False |   False | 0.78 |  24.73 |       7 |    13.1 |  SPLUS-s41s07 |             |                      |         | ACT-CL J0057.3-5223 |                    |                 |          |                   |
| 93183111 |             93183111 |  170.69251 |  -7.72019 | 0.026 | 268.13 |  0.40 |    False |   False | 0.72 |  22.21 |       7 |    16.3 |  SPLUS-n07s16 |             |                      |         |                     |                    |                 |          |                   |
| 93170432 |  ACT-CL J0120.8-0059 |   20.55288 |  -0.96572 | 0.026 | 139.97 |  0.70 |    False |   False | 0.86 |  26.48 |       6 |     9.8 | STRIPE82_0031 |             |                      |         | ACT-CL J0120.8-0059 |                    |                 |          |                   |
|   100115 |           ABELL 3389 |   95.45526 | -64.98077 | 0.027 | 274.72 |  1.98 |    False |    True | 1.22 |  36.84 |       9 |     7.6 |        MC0020 |             |           ABELL 3389 |         |                     |                    |                 |          |                   |
| 93270218 |           ABELL 2806 |    9.99200 | -56.14710 | 0.027 | 306.22 |  0.81 |    False |   False | 0.91 |  27.22 |       9 |    13.9 |  SPLUS-s43s05 |             |           ABELL 2806 |         |                     |                    |                 |          |                   |
| 93280906 |             93280906 |   91.27726 | -63.48930 | 0.027 | 272.87 |  0.49 |    False |   False | 0.77 |  23.05 |       5 |    10.8 |        MC0009 |             |                      |         |                     |                    |                 |          |                   |
| 93215311 |          ABELL S0891 |  -49.75798 | -20.64988 | 0.027 |  24.88 |  0.75 |    False |   False | 0.88 |  26.18 |       0 |     0.0 |               |             |          ABELL S0891 |         |                     |                    |                 |          |                   |
| 93195701 |             93195701 |  -43.89505 | -12.20724 | 0.027 |  36.86 |  0.87 |    False |   False | 0.93 |  27.22 |       0 |     0.0 |               |             |                      |         |                     |                    |                 |          |                   |
|    53529 |                 MKW8 | -139.83716 |   3.47273 | 0.027 | 355.49 |  2.48 |    False |    True | 1.31 |  38.41 |      18 |    14.0 |     MKW8_need |        MKW8 |                      |         | ACT-CL J1440.7+0355 | PSZ2 G355.50+54.72 |                 |     MKW8 |                   |
| 93193015 |   PSZ2 G264.92+44.70 |  166.44223 |  -9.96320 | 0.028 | 264.70 |  0.44 |    False |   False | 0.74 |  21.47 |       5 |    12.4 |  SPLUS-n08s12 |             |                      |         |                     | PSZ2 G264.92+44.70 |                 |          |                   |
| 93225827 |                A4038 |   -3.08190 | -28.14218 | 0.028 |  25.14 |  4.06 |    False |    True | 1.55 |  44.73 |      23 |    13.2 |   A4038_needs |       A4038 |           ABELL 4038 |         |                     | PSZ2 G025.13-75.88 |           A4038 |    A4038 | MCXC J2347.7-2808 |
