|                name |        ra |       dec |     z |  mass |        S-PLUS |                    CHANCES |       Abell |               PSZ2 |
| ACT-CL J0307.0-2840 |  46.75820 | -28.66700 | 0.253 |  8.60 |               |         PSZ2 G223.93-60.10 |  ABELL 3088 | PSZ2 G223.93-60.10 |
| ACT-CL J0358.9-2955 |  59.72565 | -29.93064 | 0.425 | 10.98 |  SPLUS-s24s39 |                            |  ABELL 3192 | PSZ2 G228.30-49.02 |
| ACT-CL J0416.1-2404 |  64.03807 | -24.07134 | 0.396 | 10.52 |               |          MACS J0416.1-2403 |             | PSZ2 G221.06-44.05 |
| ACT-CL J0417.5-1154 |  64.39406 | -11.90107 | 0.443 | 15.77 |               |         PSZ2 G205.93-39.46 |             | PSZ2 G205.93-39.46 |
| ACT-CL J0438.2-5419 |  69.57213 | -54.32574 | 0.421 | 10.65 |  SPLUS-s42s31 |                            |             | PSZ2 G262.73-40.92 |
| ACT-CL J0454.1+0255 |  73.54301 |   2.92015 | 0.199 |  9.04 |               |         PSZ2 G195.75-24.32 |  ABELL 0520 | PSZ2 G195.75-24.32 |
| ACT-CL J0510.7-0801 |  77.69697 |  -8.02483 | 0.220 |  9.10 |               |         PSZ2 G208.60-26.00 |             | PSZ2 G208.60-26.00 |
| ACT-CL J0528.8-3927 |  82.21651 | -39.46272 | 0.284 |  8.98 |               |         PSZ2 G244.37-32.15 |             | PSZ2 G244.37-32.15 |
| ACT-CL J0532.9-3701 |  83.23279 | -37.02599 | 0.275 | 10.49 |               |         PSZ2 G241.76-30.88 |             | PSZ2 G241.76-30.88 |
| ACT-CL J0553.4-3342 |  88.35367 | -33.71067 | 0.412 | 15.40 |               |          MACS J0553.4-3342 |             | PSZ2 G239.27-26.01 |
| ACT-CL J0628.8-4143 |  97.20803 | -41.72582 | 0.176 |  9.03 |               |                            |  ABELL 3396 | PSZ2 G249.87-21.65 |
| ACT-CL J0638.7-5358 |  99.69642 | -53.97326 | 0.226 | 12.54 |               |         PSZ2 G263.14-23.41 | ABELL S0592 | PSZ2 G263.14-23.41 |
| ACT-CL J0645.4-5413 | 101.36892 | -54.22323 | 0.167 | 11.18 |               |         PSZ2 G263.68-22.55 |  ABELL 3404 | PSZ2 G263.68-22.55 |
| ACT-CL J0658.5-5557 | 104.63480 | -55.95304 | 0.296 | 16.06 |               | ClG 0657-56 Bullet cluster |             | PSZ2 G266.04-21.25 |
| ACT-CL J1023.6+0411 | 155.91271 |   4.18797 | 0.285 | 12.01 |  SPLUS-n04n05 |           ZwCl 1021.0+0426 |             | PSZ2 G239.43+47.95 |
| ACT-CL J1115.8+0129 | 168.96471 |   1.49908 | 0.356 |  9.80 |  SPLUS-n02n14 |          MACS J1115.9+0129 |             | PSZ2 G257.09+55.61 |
| ACT-CL J1311.5-0119 | 197.87862 |  -1.33201 | 0.201 | 14.06 |  SPLUS-n02s36 |                  Abell1689 |  ABELL 1689 | PSZ2 G313.33+61.13 |
| ACT-CL J1401.0+0252 | 210.25777 |   2.87571 | 0.252 | 15.23 |  SPLUS-n03n45 |                  Abell1835 |  ABELL 1835 | PSZ2 G340.36+60.58 |
| ACT-CL J1504.1-0248 | 226.02844 |  -2.80629 | 0.217 | 11.27 |               |           RXC J1504.1-0248 |             | PSZ2 G355.07+46.20 |
| ACT-CL J1636.4+0308 | 249.12329 |   3.14640 | 0.275 | 10.05 |               |                            |             | PSZ2 G019.12+31.23 |
| ACT-CL J2003.5-2323 | 300.87829 | -23.39213 | 0.317 |  9.95 |               |                            |             | PSZ2 G018.54-25.69 |
| ACT-CL J2020.3-2226 | 305.09392 | -22.43643 | 0.357 |  9.22 |               |                            |             | PSZ2 G021.02-29.04 |
| ACT-CL J2023.3-5535 | 305.83441 | -55.59077 | 0.232 |  9.50 |               |         PSZ2 G342.33-34.93 |             | PSZ2 G342.33-34.93 |
| ACT-CL J2031.8-4037 | 307.96666 | -40.62320 | 0.342 | 10.49 |               |           RXC J2031.8-4037 |             | PSZ2 G000.77-35.69 |
| ACT-CL J2201.8-5956 | 330.46822 | -59.94872 | 0.097 |  8.67 |  SPLUS-s46s36 |                  Abell3827 |  ABELL 3827 | PSZ2 G332.23-46.37 |
| ACT-CL J2211.7-0349 | 332.94204 |  -3.82677 | 0.426 | 17.34 |  SPLUS-s04s07 |                            |             | PSZ2 G057.25-45.34 |
| ACT-CL J2234.4-3744 | 338.61492 | -37.74309 | 0.153 | 13.50 |  SPLUS-s29s59 |                            |  ABELL 3888 | PSZ2 G003.93-59.41 |
| ACT-CL J2243.3-0935 | 340.83897 |  -9.59327 | 0.439 | 12.75 |  SPLUS-s08s13 |                            |             | PSZ2 G056.93-55.08 |
| ACT-CL J2248.8-4431 | 342.20519 | -44.52796 | 0.351 | 18.97 |  SPLUS-s34s56 |           RXC J2248.7-4431 | ABELL S1063 | PSZ2 G349.46-59.95 |
| ACT-CL J2308.3-0211 | 347.08690 |  -2.18877 | 0.289 |  8.61 |  SPLUS-s03s17 |                            |  ABELL 2537 | PSZ2 G073.82-54.92 |
| ACT-CL J2311.5+0338 | 347.88630 |   3.63334 | 0.307 |  9.34 |               |                            |  ABELL 2552 | PSZ2 G081.00-50.93 |
| ACT-CL J2351.6-2604 | 357.91425 | -26.08315 | 0.230 |  8.78 |  SPLUS-s20s51 |                            |  ABELL 2667 | PSZ2 G033.97-76.61 |
