|                name |        ra |       dec |    z |  mass |                    CHANCES |        S-PLUS |
| ACT-CL J0159.0-3413 |  29.75408 | -34.22240 | 0.41 |  9.06 |         PSZ2 G243.15-73.84 |  SPLUS-s27s19 |
| ACT-CL J0159.8-0849 |  29.95932 |  -8.83065 | 0.41 |  9.41 |                            |            NO |
| ACT-CL J0203.1-2017 |  30.79361 | -20.28691 | 0.44 |  7.86 |                            |            NO |
| ACT-CL J0232.2-4421 |  38.06971 | -44.35128 | 0.28 | 12.30 |         PSZ2 G259.98-63.43 |  SPLUS-s34s21 |
| ACT-CL J0237.4-2630 |  39.36562 | -26.50899 | 0.22 |  7.77 |                            |            NO |
| ACT-CL J0239.8-0134 |  39.97138 |  -1.57902 | 0.38 |  9.24 |                  Abell0370 | STRIPE82_0057 |
| ACT-CL J0245.5-5302 |  41.37533 | -53.03585 | 0.30 | 10.65 |         PSZ2 G271.53-56.57 |  SPLUS-s41s20 |
| ACT-CL J0248.2-0216 |  42.05680 |  -2.26836 | 0.24 |  9.85 |                            |            NO |
| ACT-CL J0254.3-5857 |  43.58138 | -58.95064 | 0.44 |  8.00 |         PSZ2 G277.76-51.74 |  SPLUS-s45s18 |
| ACT-CL J0257.7-2209 |  44.42674 | -22.15370 | 0.32 |  8.10 |                            |            NO |
| ACT-CL J0258.9+1334 |  44.73856 |  13.58088 | 0.07 |  9.66 |                            |            NO |
| ACT-CL J0259.0-0659 |  44.76996 |  -6.99067 | 0.42 |  8.07 |                            |            NO |
| ACT-CL J0307.0-2840 |  46.75820 | -28.66700 | 0.25 |  8.60 |         PSZ2 G223.93-60.10 |            NO |
| ACT-CL J0336.2-4037 |  54.07018 | -40.62824 | 0.17 |  7.53 |                            |  SPLUS-s31s32 |
| ACT-CL J0358.9-2955 |  59.72565 | -29.93064 | 0.43 | 10.98 |                            |  SPLUS-s24s39 |
| ACT-CL J0411.2-4819 |  62.81423 | -48.32089 | 0.42 |  8.16 |                            |  SPLUS-s37s32 |
| ACT-CL J0416.1-2404 |  64.03807 | -24.07134 | 0.40 | 10.52 |          MACS J0416.1-2403 |            NO |
| ACT-CL J0417.5-1154 |  64.39406 | -11.90107 | 0.44 | 15.77 |         PSZ2 G205.93-39.46 |            NO |
| ACT-CL J0437.1+0043 |  69.28963 |   0.73311 | 0.29 |  7.71 |                            |            NO |
| ACT-CL J0438.2-5419 |  69.57213 | -54.32574 | 0.42 | 10.65 |                            |  SPLUS-s42s31 |
| ACT-CL J0438.9+0716 |  69.74797 |   7.27085 | 0.24 |  7.97 |                            |            NO |
| ACT-CL J0454.1+0255 |  73.54301 |   2.92015 | 0.20 |  9.04 |         PSZ2 G195.75-24.32 |            NO |
| ACT-CL J0510.7-0801 |  77.69697 |  -8.02483 | 0.22 |  9.10 |         PSZ2 G208.60-26.00 |            NO |
| ACT-CL J0520.7-1328 |  80.17531 | -13.47748 | 0.34 |  8.24 |                            |            NO |
| ACT-CL J0525.8-4715 |  81.45484 | -47.25405 | 0.19 |  6.82 |                            |            NO |
| ACT-CL J0528.8-3927 |  82.21651 | -39.46272 | 0.28 |  8.98 |         PSZ2 G244.37-32.15 |            NO |
| ACT-CL J0532.9-3701 |  83.23279 | -37.02599 | 0.27 | 10.49 |         PSZ2 G241.76-30.88 |            NO |
| ACT-CL J0553.4-3342 |  88.35367 | -33.71067 | 0.41 | 15.40 |          MACS J0553.4-3342 |            NO |
| ACT-CL J0628.8-4143 |  97.20803 | -41.72582 | 0.18 |  9.03 |                            |            NO |
| ACT-CL J0638.7-5358 |  99.69642 | -53.97326 | 0.23 | 12.54 |         PSZ2 G263.14-23.41 |            NO |
| ACT-CL J0645.4-5413 | 101.36892 | -54.22323 | 0.17 | 11.18 |         PSZ2 G263.68-22.55 |            NO |
| ACT-CL J0658.5-5557 | 104.63480 | -55.95304 | 0.30 | 16.06 | ClG 0657-56 Bullet cluster |            NO |
| ACT-CL J0816.6+0923 | 124.17334 |   9.39937 | 0.26 |  7.65 |                            |            NO |
| ACT-CL J0935.2+0048 | 143.80869 |   0.80078 | 0.36 |  7.48 |                            |            NO |
| ACT-CL J0942.0+0857 | 145.51962 |   8.95970 | 0.22 |  7.20 |                            |            NO |
| ACT-CL J0949.8+1707 | 147.46810 |  17.12247 | 0.39 | 10.24 |                            |            NO |
| ACT-CL J1023.6+0411 | 155.91271 |   4.18797 | 0.28 | 12.01 |           ZwCl 1021.0+0426 |  SPLUS-n04n05 |
| ACT-CL J1115.8+0129 | 168.96471 |   1.49908 | 0.36 |  9.80 |          MACS J1115.9+0129 |  SPLUS-n02n14 |
| ACT-CL J1230.7+1033 | 187.69380 |  10.55851 | 0.17 |  7.72 |                            |            NO |
| ACT-CL J1258.7-0145 | 194.67517 |  -1.76538 | 0.08 |  8.05 |                  Abell1650 |  SPLUS-n02s33 |
| ACT-CL J1311.5-0119 | 197.87862 |  -1.33201 | 0.20 | 14.06 |                  Abell1689 |  SPLUS-n02s36 |
| ACT-CL J1401.0+0252 | 210.25777 |   2.87571 | 0.25 | 15.23 |                  Abell1835 |  SPLUS-n03n45 |
| ACT-CL J1447.4+0828 | 221.85978 |   8.47251 | 0.38 |  9.37 |                            |            NO |
| ACT-CL J1504.1-0248 | 226.02844 |  -2.80629 | 0.22 | 11.27 |           RXC J1504.1-0248 |            NO |
| ACT-CL J1510.9+0544 | 227.73356 |   5.74435 | 0.08 | 15.50 |                            |            NO |
| ACT-CL J1540.1-0318 | 235.04396 |  -3.31286 | 0.15 |  7.26 |                            |            NO |
| ACT-CL J1632.7+0534 | 248.19662 |   5.57758 | 0.15 | 15.50 |                            |            NO |
| ACT-CL J1636.4+0308 | 249.12329 |   3.14640 | 0.28 | 10.05 |                            |            NO |
| ACT-CL J1914.6-5928 | 288.65932 | -59.46727 | 0.26 |  7.83 |                            |            NO |
| ACT-CL J2003.5-2323 | 300.87829 | -23.39213 | 0.32 |  9.95 |                            |            NO |
| ACT-CL J2020.3-2226 | 305.09392 | -22.43643 | 0.36 |  9.22 |                            |            NO |
| ACT-CL J2023.3-5535 | 305.83441 | -55.59077 | 0.23 |  9.50 |         PSZ2 G342.33-34.93 |            NO |
| ACT-CL J2031.8-4037 | 307.96666 | -40.62320 | 0.34 | 10.49 |           RXC J2031.8-4037 |            NO |
| ACT-CL J2049.9-3217 | 312.47687 | -32.28448 | 0.33 |  8.15 |                            |            NO |
| ACT-CL J2058.9+0122 | 314.72982 |   1.38169 | 0.33 |  7.82 |                            | STRIPE82_0108 |
| ACT-CL J2131.0-4019 | 322.76964 | -40.32330 | 0.45 |  7.94 |                            |  SPLUS-s31s48 |
| ACT-CL J2135.2+0125 | 323.81356 |   1.41921 | 0.23 |  7.29 |                            | STRIPE82_0120 |
| ACT-CL J2153.6+1741 | 328.42124 |  17.68869 | 0.23 | 11.13 |                            |            NO |
| ACT-CL J2201.8-5956 | 330.46822 | -59.94872 | 0.10 |  8.67 |                  Abell3827 |  SPLUS-s46s36 |
| ACT-CL J2211.7-0349 | 332.94204 |  -3.82677 | 0.43 | 17.34 |                            |  SPLUS-s04s07 |
| ACT-CL J2234.4-3744 | 338.61492 | -37.74309 | 0.15 | 13.50 |                            |  SPLUS-s29s59 |
| ACT-CL J2241.9+1732 | 340.47992 |  17.53976 | 0.31 |  7.86 |                            |            NO |
| ACT-CL J2243.3-0935 | 340.83897 |  -9.59327 | 0.44 | 12.75 |                            |  SPLUS-s08s13 |
| ACT-CL J2248.8-4431 | 342.20519 | -44.52796 | 0.35 | 18.97 |           RXC J2248.7-4431 |  SPLUS-s34s56 |
| ACT-CL J2308.3-0211 | 347.08690 |  -2.18877 | 0.29 |  8.61 |                            |  SPLUS-s03s17 |
| ACT-CL J2311.5+0338 | 347.88630 |   3.63334 | 0.31 |  9.34 |                            |            NO |
| ACT-CL J2312.9-1600 | 348.23159 | -16.00876 | 0.26 |  7.61 |                            |  SPLUS-s13s47 |
| ACT-CL J2325.2-4111 | 351.30125 | -41.19596 | 0.36 |  7.62 |         PSZ2 G348.90-67.37 |  SPLUS-s32s63 |
| ACT-CL J2334.3+1759 | 353.59826 |  17.98687 | 0.44 | 10.01 |                            |            NO |
| ACT-CL J2337.6+0016 | 354.41255 |   0.27272 | 0.28 |  7.71 |                            | STRIPE82_0164 |
| ACT-CL J2351.6-2604 | 357.91425 | -26.08315 | 0.23 |  8.78 |                            |  SPLUS-s20s51 |
