|        CHANCES name | VISTA |          Comments |                name | index | index_PSZ |        hms |       dms |     z |  m500 | m500lo | m500hi |    hms_PSZ |   dms_PSZ | z_PSZ | m500_PSZ | m500lo_PSZ | m500hi_PSZ | index_ACT |            ACT_name |    hms_ACT |   dms_ACT | z_ACT | m500_ACT | m500lo_ACT | m500hi_ACT |         MCXC |             X-rays | X-ray catalog |    L500_X | m500_X | r500_X | m500_X_corr | m500_PSZ_corr | m500_ACT_corr | r500 |      r500_ACT_corr |           r500_ACT |      r500_PSZ_corr |           r500_PSZ |        r500_X_corr |             r500_r |  m200 | c200 | r200 |  d200 |
|   MACS J0329.7-0211 |  P108 |         CLASH-VLT | ACT-CL J0329.6-0211 |     8 |           | 03:29:41.0 | -02:11:44 | 0.459 |  7.84 |   1.44 |   1.63 |            |           |       |          |            |            |        44 | ACT-CL J0329.6-0211 | 03:29:41.0 | -02:11:44 |  0.46 |     7.84 |       1.44 |       1.63 | J0329.6-0211 | MACSJ0329.6-0211   |  MACS         | 13.573036 |   4.46 |   0.99 |        7.86 |               |          7.84 | 1.15 | 1.1905520419575826 | 1.1905520419575826 |                    |                    |  1.191674718300167 | 1.1905520419575826 | 11.10 | 4.43 | 1.85 |  5.13 |
|   MACS J0416.1-2403 |  GCAV |         CLASH-VLT |  PSZ2 G221.06-44.05 |    11 |       562 | 04:16:09.1 | -24:04:16 | 0.396 | 10.52 |   1.92 |   2.18 | 04:16:08.4 | -24:03:15 |  -1.0 |     0.00 |       0.00 |       0.00 |        17 | ACT-CL J0416.1-2404 | 04:16:09.1 | -24:04:16 |   0.4 |    10.52 |       1.92 |       2.18 |              |                    |               |           |        |        |             |          3.00 |         10.52 | 1.33 | 1.3457004816238916 | 1.3457004816238916 | 0.8857617309681994 |                0.0 |                    | 1.3457004816238916 | 14.83 | 4.54 | 2.09 |  6.31 |
|   MACS J0553.4-3342 |  GCAV |                   |  PSZ2 G239.27-26.01 |       |           | 05:53:23.6 | -33:42:07 |  0.43 | 11.77 |   0.46 |   0.44 | 05:53:23.6 | -33:42:07 |  0.43 |     8.77 |       0.46 |       0.44 |           |                     |            |           |       |          |            |            |              |                    |               |           |        |        |             |         11.77 |               | 1.37 |                    |                    | 1.3787412413033824 | 1.2499437712472279 |                    | 1.3999437712472278 | 16.49 | 4.69 | 2.13 |  6.14 |
|   MACS J1115.9+0129 |  P109 |   WAVES CLASH-VLT |  PSZ2 G257.09+55.61 |    33 |        49 | 11:15:51.5 | +01:29:56 | 0.356 |  9.80 |   1.82 |   2.06 | 11:15:47.8 | +01:29:46 |  0.35 |     6.86 |       0.54 |       0.53 |        20 | ACT-CL J1115.8+0129 | 11:15:51.5 | +01:29:56 |  0.36 |     9.80 |       1.82 |       2.06 | J1115.8+0129 | RXCJ1115.8+0129    |  NORAS/REFLEX | 12.258363 |   7.27 |   1.21 |       10.67 |          9.86 |          9.80 | 1.34 | 1.3345800410329105 | 1.3345800410329105 | 1.3372981341649708 | 1.1849789590789255 |  1.372941332672593 | 1.3345800410329105 | 13.88 | 4.43 | 2.07 |  6.70 |
|   MACS J1206.2-0847 |  P109 |         CLASH-VLT |  PSZ2 G284.41+52.45 |    38 |         4 | 12:06:14.9 | -08:47:19 | 0.441 | 14.18 |   0.48 |   0.48 | 12:06:14.9 | -08:47:19 |  0.44 |    11.18 |       0.48 |       0.48 |           |                     |            |           |       |          |            |            | J1206.2-0848 | RXCJ1206.2-0848    |  NORAS/REFLEX |  17.58485 |   8.40 |   1.23 |       11.80 |         14.18 |               | 1.45 |                    |                    | 1.4607938882324887 | 1.3495142270419116 | 1.3740868276147786 | 1.4995142270419115 | 19.71 | 4.90 | 2.25 |  6.40 |
|   MACS J1311.0-0311 |  P109 |         CLASH-VLT |        MACSJ1311-03 |    64 |           | 13:11:01.6 | -03:10:40 | 0.494 |  7.55 |        |        |            |           |       |          |            |            |           |                     |            |           |       |          |            |            | J1311.0-0310 | MACSJ1311.0-0310   |  MACS         |  7.240105 |   4.15 |   0.95 |        7.55 |               |               | 1.16 |                    |                    |                    |                    | 1.1597649743524336 | 1.0999999999999999 | 10.68 | 4.46 | 1.80 |  4.79 |
|        MACSJ0329-02 |       |                   |        MACSJ0329-02 |    63 |           | 03:29:40.8 | -02:11:54 |  0.45 |  7.86 |        |        |            |           |       |          |            |            |           |                     |            |           |       |          |            |            | J0329.6-0211 | MACSJ0329.6-0211   |  MACS         | 13.573036 |   4.46 |   0.99 |        7.86 |               |               | 1.20 |                    |                    |                    |                    | 1.1958757756009861 |               1.14 | 11.15 | 4.42 | 1.86 |  5.21 |
|  PSZ2 G195.39-29.08 |       |                   |  PSZ2 G195.39-29.08 |    13 |           | 04:37:09.5 | +00:43:59 | 0.294 |  7.71 |   1.51 |   1.74 | 04:37:12.0 | +00:43:37 |  0.28 |     5.56 |       0.65 |       0.61 |        48 | ACT-CL J0437.1+0043 | 04:37:09.5 | +00:43:59 |  0.29 |     7.71 |       1.51 |       1.74 | J0437.1+0043 | RXCJ0437.1+0043    |  NORAS/REFLEX |  8.094954 |   5.95 |   1.16 |        9.35 |          8.56 |          7.71 | 1.17 | 1.2611412074738928 | 1.2611412074738928 | 1.3058807257707556 |  1.130933809436746 | 1.3448585263042216 | 1.2611412074738928 | 11.00 | 4.23 | 1.96 |  7.22 |
|  PSZ2 G195.75-24.32 |   VHS |          Abell520 |  PSZ2 G195.75-24.32 |    15 |        22 | 04:54:10.3 | +02:55:12 | 0.199 |  9.04 |   1.85 |   2.16 | 04:54:06.3 | +02:57:44 |   0.2 |     7.80 |       0.41 |       0.40 |        25 | ACT-CL J0454.1+0255 | 04:54:10.3 | +02:55:12 |   0.2 |     9.04 |       1.85 |       2.16 | J0454.1+0255 | RXC J0454.1+0255   |  NORAS/REFLEX |   8.30627 |   6.44 |   1.23 |        9.84 |         10.80 |          9.04 | 1.33 | 1.3765923549789991 | 1.3765923549789991 |  1.460686879731851 | 1.3105313388804871 | 1.4158848567358053 | 1.3765923549789991 | 12.94 | 4.20 | 2.15 | 10.55 |
|  PSZ2 G201.50-27.31 |  GCAV |           MS 0451 |  PSZ2 G201.50-27.31 |       |           | 04:54:14.2 | -03:01:08 | 0.538 | 11.30 |   0.73 |   0.70 | 04:54:14.2 | -03:01:08 |  0.54 |     8.30 |       0.73 |       0.70 |           |                     |            |           |       |          |            |            | J0454.1-0300 | MACSJ0454.1-0300   |  MACS         | 15.352674 |   7.13 |   1.12 |       10.53 |         11.30 |               | 1.48 |                    |                    | 1.3036246911943679 | 1.1762125092216795 | 1.2734682428892943 | 1.3262125092216794 | 15.73 | 4.86 | 2.01 |  5.13 |
|  PSZ2 G205.05-62.95 |  P109 |                   |  PSZ2 G205.05-62.95 |     4 |        27 | 02:46:25.8 | -20:31:36 |  0.31 | 10.64 |   0.51 |   0.48 | 02:46:25.8 | -20:31:36 |  0.31 |     7.64 |       0.51 |       0.48 |           |                     |            |           |       |          |            |            |              |                    |               |           |        |        |             |         10.64 |               | 1.40 |                    |                    | 1.3957207008915262 | 1.2498246811743274 |                    | 1.3998246811743273 | 15.09 | 4.42 | 2.17 |  7.69 |
|  PSZ2 G205.93-39.46 |  P108 |           MeerKAT |  PSZ2 G205.93-39.46 |       |           | 04:17:37.5 | -11:53:45 | 0.443 | 15.25 |   0.55 |   0.53 | 04:17:37.5 | -11:53:45 |  0.44 |    12.25 |       0.55 |       0.53 |           |                     |            |           |       |          |            |            | J0417.5-1154 | MACSJ0417.5-1154   |  MACS         |      29.1 |  22.10 |   1.69 |       25.50 |         15.25 |               | 1.63 |                    |                    | 1.4954827312963768 |  1.390177165975008 | 1.7750265282010977 | 1.5401771659750079 | 21.13 | 4.99 | 2.30 |  6.52 |
|  PSZ2 G208.60-26.00 |   VHS |           MeerKAT |  PSZ2 G208.60-26.00 |    16 |        25 | 05:10:47.2 | -08:01:29 |  0.22 |  9.10 |   1.83 |   2.13 | 05:10:44.8 | -08:01:12 |  0.22 |     7.74 |       0.48 |       0.48 |        23 | ACT-CL J0510.7-0801 | 05:10:47.2 | -08:01:29 |  0.22 |     9.10 |       1.83 |       2.13 | J0510.7-0801 | RXCJ0510.7-0801    |  NORAS/REFLEX |  7.728559 |   6.08 |   1.20 |        9.48 |         10.74 |          9.10 | 1.35 | 1.3693395196685667 | 1.3693395196685667 | 1.4471007610548121 |  1.297411266742805 | 1.3882723752441755 | 1.3693395196685667 | 13.01 | 4.22 | 2.14 |  9.70 |
|  PSZ2 G215.19-49.65 |       |                   |  PSZ2 G215.19-49.65 |     9 |           | 03:47:59.8 | -21:44:37 | 0.348 |  6.85 |   1.31 |   1.50 | 03:48:00.2 | -21:44:06 |  0.24 |     5.99 |       0.48 |       0.43 |        61 | ACT-CL J0347.9-2144 | 03:47:59.8 | -21:44:37 |  0.35 |     6.85 |       1.31 |       1.50 |              |                    |               |           |        |        |             |          8.99 |          6.85 | 1.19 |  1.188013157617974 |  1.188013157617974 | 1.3007014489338247 | 1.1360566832329064 |                    |  1.188013157617974 |  9.78 | 4.24 | 1.85 |  6.07 |
|  PSZ2 G216.76-41.84 |       |                   |  PSZ2 G216.76-41.84 |    12 |           | 04:21:22.1 | -20:22:43 | 0.389 |  6.21 |   1.17 |   1.33 | 04:21:17.7 | -20:23:42 |  -1.0 |     0.00 |       0.00 |       0.00 |        85 | ACT-CL J0421.3-2022 | 04:21:22.1 | -20:22:43 |  0.39 |     6.21 |       1.17 |       1.33 |              |                    |               |           |        |        |             |          3.00 |          6.21 | 1.13 | 1.1319089369481883 | 1.1319089369481883 | 0.8881535180255956 |                0.0 |                    | 1.1319089369481883 |  8.86 | 4.24 | 1.76 |  5.39 |
|  PSZ2 G222.78+12.84 |       |                   |  PSZ2 G222.78+12.84 |    25 |        57 | 07:55:06.3 | -02:41:54 | 0.369 |  9.72 |   0.59 |   0.59 | 07:55:06.3 | -02:41:54 |  0.37 |     6.72 |       0.59 |       0.59 |           |                     |            |           |       |          |            |            |              |                    |               |           |        |        |             |          9.72 |               | 1.31 |                    |                    | 1.3243496458026724 | 1.1710362230902573 |                    | 1.3210362230902573 | 13.74 | 4.44 | 2.06 |  6.50 |
|  PSZ2 G223.93-60.10 |   VHS |                   |  PSZ2 G223.93-60.10 |     7 |        47 | 03:07:01.9 | -28:40:01 | 0.253 |  8.60 |   1.68 |   1.94 | 03:07:00.6 | -28:41:03 |  0.25 |     6.96 |       0.45 |       0.44 |        30 | ACT-CL J0307.0-2840 | 03:07:01.9 | -28:40:01 |  0.25 |     8.60 |       1.68 |       1.94 | J0307.0-2840 | RXCJ0307.0-2840    |  NORAS/REFLEX |  6.258801 |   5.21 |   1.12 |        8.61 |          9.96 |          8.60 | 1.27 |  1.327831023738067 |  1.327831023738067 | 1.3944291098251766 | 1.2374084408021433 | 1.3282992021448032 |  1.327831023738067 | 12.28 | 4.23 | 2.07 |  8.47 |
|  PSZ2 G233.68+36.14 |       |                   |  PSZ2 G233.68+36.14 |    30 |           | 09:35:14.0 | +00:48:02 | 0.355 |  7.48 |   1.40 |   1.59 | 09:35:16.7 | +00:49:06 |  0.36 |     5.48 |       0.67 |       0.65 |        52 | ACT-CL J0935.2+0048 | 09:35:14.0 | +00:48:02 |  0.36 |     7.48 |       1.40 |       1.59 |              |                    |               |           |        |        |             |          8.48 |          7.48 | 1.27 | 1.2201181430547605 | 1.2201181430547605 | 1.2722329418861351 | 1.0999211135563756 |                    | 1.2201181430547605 | 10.68 | 4.29 | 1.90 |  6.16 |
|  PSZ2 G235.56+23.29 |       |                   |  PSZ2 G235.56+23.29 |    28 |        55 | 08:56:10.8 | -07:42:42 | 0.374 |  9.77 |   0.65 |   0.66 | 08:56:10.8 | -07:42:42 |  0.37 |     6.77 |       0.65 |       0.66 |           |                     |            |           |       |          |            |            |              |                    |               |           |        |        |             |          9.77 |               | 1.33 |                    |                    | 1.3240795310656557 | 1.1716883366703443 |                    | 1.3216883366703442 | 13.82 | 4.45 | 2.05 |  6.44 |
|  PSZ2 G241.11-28.68 |  P108 |                   |  PSZ2 G241.11-28.68 |       |           | 05:42:57.0 | -35:59:03 |  0.42 | 10.36 |   0.49 |   0.50 | 05:42:57.0 | -35:59:03 |  0.42 |     7.36 |       0.49 |       0.50 |           |                     |            |           |       |          |            |            |              |                    |               |           |        |        |             |         10.36 |               | 1.35 |                    |                    | 1.3264708517578438 | 1.1835966594706226 |                    | 1.3335966594706226 | 14.60 | 4.57 | 2.06 |  6.00 |
|  PSZ2 G241.76-30.88 |   VHS |                   |  PSZ2 G241.76-30.88 |    19 |        45 | 05:32:55.8 | -37:01:33 | 0.275 | 10.49 |   2.02 |   2.32 | 05:32:55.6 | -37:02:22 |  0.27 |     7.00 |       0.35 |       0.34 |        18 | ACT-CL J0532.9-3701 | 05:32:55.8 | -37:01:33 |  0.27 |    10.49 |       2.02 |       2.32 | J0532.9-3701 | RXCJ0532.9-3701    |  NORAS/REFLEX |  6.197377 |   5.11 |   1.11 |        8.51 |         10.00 |         10.49 | 1.40 | 1.4073268621089965 | 1.4073268621089965 | 1.3850639142657875 |  1.229803792145863 |  1.312495099043277 | 1.4073268621089965 | 14.90 | 4.36 | 2.19 |  8.44 |
|  PSZ2 G241.98+14.87 |       |                   |  PSZ2 G241.98+14.87 |    26 |        66 | 08:42:00.1 | -17:30:10 | 0.169 |  9.59 |   0.31 |   0.31 | 08:42:00.1 | -17:30:10 |  0.17 |     6.59 |       0.31 |       0.31 |           |                     |            |           |       |          |            |            | J0841.9-1729 | RXC J0841.9-1729   |  CIZA         |  4.074893 |   4.28 |   1.08 |        7.68 |          9.59 |               | 1.37 |                    |                    |  1.418825921665899 | 1.2520395568296185 | 1.3174588598278687 | 1.4020395568296184 | 13.73 | 4.19 | 2.22 | 12.39 |
|  PSZ2 G243.15-73.84 |  P109 |             WAVES |  PSZ2 G243.15-73.84 |       |           | 01:59:03.1 | -34:14:06 |  0.41 | 11.09 |   0.50 |   0.48 | 01:59:03.1 | -34:14:06 |  0.41 |     8.09 |       0.50 |       0.48 |           |                     |            |           |       |          |            |            |              |                    |               |           |        |        |             |         11.09 |               | 1.49 |                    |                    |  1.362191093983992 | 1.2262443754215044 |                    | 1.3762443754215044 | 15.58 | 4.61 | 2.11 |  6.25 |
|  PSZ2 G244.37-32.15 |   VHS |           MeerKAT |  PSZ2 G244.37-32.15 |    18 |        32 | 05:28:51.9 | -39:27:45 | 0.284 |  8.98 |   1.72 |   1.98 | 05:28:48.2 | -39:28:38 |  0.28 |     7.41 |       0.39 |       0.37 |        27 | ACT-CL J0528.8-3927 | 05:28:51.9 | -39:27:45 |  0.28 |     8.98 |       1.72 |       1.98 | J0528.9-3927 | RXCJ0528.9-3927    |  NORAS/REFLEX | 11.952927 |   7.55 |   1.26 |       10.95 |         10.41 |          8.98 | 1.33 | 1.3318342235838374 | 1.3318342235838374 | 1.3990770572114932 | 1.2491966023993508 | 1.4227493218892775 | 1.3318342235838374 | 12.80 | 4.29 | 2.07 |  7.81 |
|  PSZ2 G250.04+24.14 |       |                   |  PSZ2 G250.04+24.14 |    29 |        63 | 09:32:15.5 | -17:40:17 |   0.4 |  9.65 |   0.56 |   0.52 | 09:32:15.5 | -17:40:17 |   0.4 |     6.65 |       0.56 |       0.52 |           |                     |            |           |       |          |            |            |              |                    |               |           |        |        |             |          9.65 |               | 1.31 |                    |                    | 1.3055154894842913 | 1.1531349615857693 |                    | 1.3031349615857692 | 13.65 | 4.49 | 2.03 |  6.09 |
|  PSZ2 G259.98-63.43 |  P109 |           MeerKAT |  PSZ2 G259.98-63.43 |     2 |        29 | 02:32:16.7 | -44:21:04 | 0.284 | 12.30 |   2.35 |   2.70 | 02:32:18.7 | -44:21:40 |  0.28 |     7.54 |       0.32 |       0.33 |         9 | ACT-CL J0232.2-4421 | 02:32:16.7 | -44:21:04 |  0.28 |    12.30 |       2.35 |       2.70 | J0232.2-4420 | RXCJ0232.2-4420    |  NORAS/REFLEX |  8.499136 |   6.13 |   1.17 |        9.53 |         10.54 |         12.30 | 1.44 | 1.4790848732183426 | 1.4790848732183426 | 1.4048768689729467 | 1.2564595365403992 | 1.3585779163068368 | 1.4790848732183426 | 17.39 | 4.48 | 2.30 |  8.65 |
|  PSZ2 G262.27-35.38 |   VHS |           MeerKAT |  PSZ2 G262.27-35.38 |    17 |        14 | 05:16:35.2 | -54:32:03 | 0.295 | 11.76 |   0.25 |   0.24 | 05:16:35.2 | -54:32:03 |   0.3 |     8.76 |       0.25 |       0.24 |           |                     |            |           |       |          |            |            | J0516.6-5430 | RXCJ0516.6-5430    |  NORAS/REFLEX | 12.598125 |   7.72 |   1.26 |       11.12 |         11.76 |               | 1.46 |                    |                    | 1.4511748126192667 | 1.3154832625337154 | 1.4245193361429693 | 1.4654832625337153 | 16.63 | 4.46 | 2.25 |  8.27 |
|  PSZ2 G262.73-40.92 |  P108 |                   |  PSZ2 G262.73-40.92 |       |           | 04:38:22.8 | -54:19:15 | 0.421 | 10.46 |   0.36 |   0.36 | 04:38:22.8 | -54:19:15 |  0.42 |     7.46 |       0.36 |       0.36 |           |                     |            |           |       |          |            |            |              |                    |               |           |        |        |             |         10.46 |               | 1.40 |                    |                    | 1.3302088045481015 | 1.1884717574397226 |                    | 1.3384717574397225 | 14.72 | 4.58 | 2.06 |  6.01 |
|  PSZ2 G263.03-56.19 |       |                   |  PSZ2 G263.03-56.19 |     6 |           | 03:04:14.6 | -49:21:27 | 0.392 |  6.91 |   1.26 |   1.43 | 03:04:20.4 | -49:21:20 |  0.39 |     4.70 |       0.66 |       0.61 |        60 | ACT-CL J0304.2-4921 | 03:04:14.6 | -49:21:27 |  0.39 |     6.91 |       1.26 |       1.43 |              |                    |               |           |        |        |             |          7.70 |          6.91 | 1.17 | 1.1715801584612424 | 1.1715801584612424 |  1.214626915372019 | 1.0303353763878509 |                    | 1.1715801584612424 |  9.85 | 4.29 | 1.82 |  5.55 |
|  PSZ2 G263.14-23.41 |   VHS |           MeerKAT |  PSZ2 G263.14-23.41 |    21 |        52 | 06:38:47.1 | -53:58:23 | 0.226 | 12.54 |   2.49 |   2.88 | 06:38:53.8 | -53:58:53 |  0.23 |     6.83 |       0.31 |       0.34 |         8 | ACT-CL J0638.7-5358 | 06:38:47.1 | -53:58:23 |  0.23 |    12.54 |       2.49 |       2.88 | J0638.7-5358 | RXCJ0638.7-5358    |  NORAS/REFLEX |  9.536792 |   6.88 |   1.24 |       10.28 |          9.83 |         12.54 | 1.52 |  1.520524921205588 |  1.520524921205588 |  1.401992002797732 | 1.2417512284143573 | 1.4229333486926155 |  1.520524921205588 | 17.79 | 4.40 | 2.37 | 10.53 |
|  PSZ2 G263.68-22.55 |   VHS |           MeerKAT |  PSZ2 G263.68-22.55 |    22 |        19 | 06:45:28.5 | -54:13:23 | 0.167 | 11.18 |   2.33 |   2.74 | 06:45:28.6 | -54:13:45 |  0.16 |     7.96 |       0.21 |       0.23 |        13 | ACT-CL J0645.4-5413 | 06:45:28.5 | -54:13:23 |  0.17 |    11.18 |       2.33 |       2.74 | J0645.4-5413 | RXCJ0645.4-5413    |  NORAS/REFLEX |  6.709122 |   5.82 |   1.20 |        9.22 |         10.96 |         11.18 | 1.49 | 1.4943027997065899 | 1.4943027997065899 | 1.4844361669769706 | 1.3343272791052732 | 1.4011300496858303 | 1.4943027997065899 | 15.96 | 4.25 | 2.33 | 13.17 |
|  PSZ2 G266.83+25.08 |   VHS |                   |  PSZ2 G266.83+25.08 |    32 |        34 | 10:23:53.1 | -27:15:07 | 0.254 | 10.37 |   0.37 |   0.36 | 10:23:53.1 | -27:15:07 |  0.25 |     7.37 |       0.37 |       0.36 |           |                     |            |           |       |          |            |            | J1023.8-2715 | RXCJ1023.8-2715    |  NORAS/REFLEX |  11.91962 |   7.71 |   1.28 |       11.11 |         10.37 |               | 1.39 |                    |                    | 1.4127901499338171 |  1.260783651763311 |   1.44573056057231 |  1.410783651763311 | 14.76 | 4.32 | 2.20 |  8.98 |
|  PSZ2 G271.18-30.95 |  P108 |                   |  PSZ2 G271.18-30.95 |    20 |        33 | 05:49:23.0 | -62:04:21 |  0.37 | 10.37 |   0.32 |   0.31 | 05:49:23.0 | -62:04:21 |  0.37 |     7.37 |       0.32 |       0.31 |           |                     |            |           |       |          |            |            |              |                    |               |           |        |        |             |         10.37 |               | 1.41 |                    |                    | 1.3527181668577586 | 1.2071750006873923 |                    | 1.3571750006873922 | 14.66 | 4.49 | 2.10 |  6.63 |
|  PSZ2 G271.53-56.57 |   VHS |           MeerKAT |  PSZ2 G271.53-56.57 |     3 |        54 | 02:45:30.0 | -53:02:09 | 0.298 | 10.65 |   2.02 |   2.31 | 02:45:28.4 | -53:02:32 |   0.3 |     6.78 |       0.36 |       0.37 |        15 | ACT-CL J0245.5-5302 | 02:45:30.0 | -53:02:09 |   0.3 |    10.65 |       2.02 |       2.31 |              |                    |               |           |        |        |             |          9.78 |         10.65 | 1.43 | 1.4024321194172746 | 1.4024321194172746 | 1.3631540305972425 |  1.206447825702186 |                    | 1.4024321194172746 | 15.11 | 4.40 | 2.18 |  7.94 |
