|        CHANCES name | VISTA |          Comments |                name | index | index_PSZ |        hms |       dms |     z | m500lo | m500hi |    hms_PSZ |   dms_PSZ | z_PSZ | m500_PSZ | m500lo_PSZ | m500hi_PSZ | index_ACT |            ACT_name |    hms_ACT |   dms_ACT | z_ACT | m500_ACT | m500lo_ACT | m500hi_ACT |  m500 |         MCXC |             X-rays | X-ray catalog |    L500_X | m500_X | r500_X | m500_X_corr | m500_PSZ_corr | m500_ACT_corr | r500 |  m200 | c200 | r200 |  d200 |
|   MACS J0329.7-0211 |  P108 |         CLASH-VLT | ACT-CL J0329.6-0211 |     8 |           | 03:29:41.0 | -02:11:44 | 0.459 |   1.44 |   1.63 |            |           |       |          |            |            |        44 | ACT-CL J0329.6-0211 | 03:29:41.0 | -02:11:44 |  0.46 |     7.84 |       1.44 |       1.63 |  7.84 | J0329.6-0211 | MACSJ0329.6-0211   |  MACS         | 13.573036 |   4.46 |   0.99 |        6.75 |               |          7.84 | 1.19 | 11.10 | 4.43 | 1.85 |  4.67 |
|   MACS J0416.1-2403 |  GCAV |         CLASH-VLT |  PSZ2 G221.06-44.05 |    11 |       562 | 04:16:09.1 | -24:04:16 | 0.396 |   1.92 |   2.18 | 04:16:08.4 | -24:03:15 |  -1.0 |     0.00 |       0.00 |       0.00 |        17 | ACT-CL J0416.1-2404 | 04:16:09.1 | -24:04:16 |   0.4 |    10.52 |       1.92 |       2.18 | 10.52 |              |                    |               |           |        |        |             |          0.00 |         10.52 | 1.35 | 14.83 | 4.54 | 2.09 |  6.08 |
|   MACS J0553.4-3342 |  GCAV |                   |  PSZ2 G239.27-26.01 |       |           | 05:53:23.6 | -33:42:07 |  0.43 |   0.46 |   0.44 | 05:53:23.6 | -33:42:07 |  0.43 |     8.77 |       0.46 |       0.44 |           |                     |            |           |       |          |            |            | 11.83 |              |                    |               |           |        |        |             |         11.83 |               | 1.38 | 16.57 | 4.70 | 2.14 |  6.05 |
|   MACS J1115.9+0129 |  P109 |   WAVES CLASH-VLT |  PSZ2 G257.09+55.61 |    33 |        49 | 11:15:51.5 | +01:29:56 | 0.356 |   1.82 |   2.06 | 11:15:47.8 | +01:29:46 |  0.35 |     6.86 |       0.54 |       0.53 |        20 | ACT-CL J1115.8+0129 | 11:15:51.5 | +01:29:56 |  0.36 |     9.80 |       1.82 |       2.06 |  9.80 | J1115.8+0129 | RXCJ1115.8+0129    |  NORAS/REFLEX | 12.258363 |   7.27 |   1.21 |       11.00 |          9.25 |          9.80 | 1.33 | 13.88 | 4.43 | 2.07 |  6.93 |
|   MACS J1206.2-0847 |  P109 |         CLASH-VLT |  PSZ2 G284.41+52.45 |    38 |         4 | 12:06:14.9 | -08:47:19 | 0.441 |   0.48 |   0.48 | 12:06:14.9 | -08:47:19 |  0.44 |    11.18 |       0.48 |       0.48 |           |                     |            |           |       |          |            |            | 15.08 | J1206.2-0848 | RXCJ1206.2-0848    |  NORAS/REFLEX |  17.58485 |   8.40 |   1.23 |       12.72 |         15.08 |               | 1.49 | 20.93 | 4.97 | 2.30 |  6.38 |
|   MACS J1311.0-0311 |  P109 |         CLASH-VLT |        MACSJ1311-03 |    64 |           | 13:11:01.6 | -03:10:40 | 0.494 |        |        |            |           |       |          |            |            |           |                     |            |           |       |          |            |            |  6.28 | J1311.0-0310 | MACSJ1311.0-0310   |  MACS         |  7.240105 |   4.15 |   0.95 |        6.28 |               |               | 1.09 |  8.94 | 4.35 | 1.69 |  4.53 |
|        MACSJ0329-02 |       |                   |        MACSJ0329-02 |    63 |           | 03:29:40.8 | -02:11:54 |  0.45 |        |        |            |           |       |          |            |            |           |                     |            |           |       |          |            |            |  6.75 | J0329.6-0211 | MACSJ0329.6-0211   |  MACS         | 13.573036 |   4.46 |   0.99 |        6.75 |               |               | 1.14 |  9.61 | 4.34 | 1.77 |  4.96 |
|  PSZ2 G195.39-29.08 |       |                   |  PSZ2 G195.39-29.08 |    13 |           | 04:37:09.5 | +00:43:59 | 0.294 |   1.51 |   1.74 | 04:37:12.0 | +00:43:37 |  0.28 |     5.56 |       0.65 |       0.61 |        48 | ACT-CL J0437.1+0043 | 04:37:09.5 | +00:43:59 |  0.29 |     7.71 |       1.51 |       1.74 |  7.71 | J0437.1+0043 | RXCJ0437.1+0043    |  NORAS/REFLEX |  8.094954 |   5.95 |   1.16 |        9.01 |          7.50 |          7.71 | 1.26 | 11.00 | 4.23 | 1.96 |  5.24 |
|  PSZ2 G195.75-24.32 |   VHS |          Abell520 |  PSZ2 G195.75-24.32 |    15 |        22 | 04:54:10.3 | +02:55:12 | 0.199 |   1.85 |   2.16 | 04:54:06.3 | +02:57:44 |   0.2 |     7.80 |       0.41 |       0.40 |        25 | ACT-CL J0454.1+0255 | 04:54:10.3 | +02:55:12 |   0.2 |     9.04 |       1.85 |       2.16 |  9.04 | J0454.1+0255 | RXC J0454.1+0255   |  NORAS/REFLEX |   8.30627 |   6.44 |   1.23 |        9.74 |         10.52 |          9.04 | 1.38 | 12.94 | 4.20 | 2.15 |  7.90 |
|  PSZ2 G201.50-27.31 |  GCAV |           MS 0451 |  PSZ2 G201.50-27.31 |       |           | 04:54:14.2 | -03:01:08 | 0.538 |   0.73 |   0.70 | 04:54:14.2 | -03:01:08 |  0.54 |     8.30 |       0.73 |       0.70 |           |                     |            |           |       |          |            |            | 11.20 | J0454.1-0300 | MACSJ0454.1-0300   |  MACS         | 15.352674 |   7.13 |   1.12 |       10.80 |         11.20 |               | 1.30 | 15.59 | 4.85 | 2.00 |  9.84 |
|  PSZ2 G205.05-62.95 |  P109 |                   |  PSZ2 G205.05-62.95 |     4 |        27 | 02:46:25.8 | -20:31:36 |  0.31 |   0.51 |   0.48 | 02:46:25.8 | -20:31:36 |  0.31 |     7.64 |       0.51 |       0.48 |           |                     |            |           |       |          |            |            | 10.31 |              |                    |               |           |        |        |             |         10.31 |               | 1.38 | 14.62 | 4.40 | 2.15 |  7.61 |
|  PSZ2 G205.93-39.46 |  P108 |           MeerKAT |  PSZ2 G205.93-39.46 |       |           | 04:17:37.5 | -11:53:45 | 0.443 |   0.55 |   0.53 | 04:17:37.5 | -11:53:45 |  0.44 |    12.25 |       0.55 |       0.53 |           |                     |            |           |       |          |            |            | 16.52 | J0417.5-1154 | MACSJ0417.5-1154   |  MACS         |      29.1 |  22.10 |   1.69 |       33.45 |         16.52 |               | 1.54 | 22.79 | 5.08 | 2.36 | 10.73 |
|  PSZ2 G208.60-26.00 |   VHS |           MeerKAT |  PSZ2 G208.60-26.00 |    16 |        25 | 05:10:47.2 | -08:01:29 |  0.22 |   1.83 |   2.13 | 05:10:44.8 | -08:01:12 |  0.22 |     7.74 |       0.48 |       0.48 |        23 | ACT-CL J0510.7-0801 | 05:10:47.2 | -08:01:29 |  0.22 |     9.10 |       1.83 |       2.13 |  9.10 | J0510.7-0801 | RXCJ0510.7-0801    |  NORAS/REFLEX |  7.728559 |   6.08 |   1.20 |        9.21 |         10.44 |          9.10 | 1.37 | 13.01 | 4.22 | 2.14 |  8.74 |
|  PSZ2 G215.19-49.65 |       |                   |  PSZ2 G215.19-49.65 |     9 |           | 03:47:59.8 | -21:44:37 | 0.348 |   1.31 |   1.50 | 03:48:00.2 | -21:44:06 |  0.24 |     5.99 |       0.48 |       0.43 |        61 | ACT-CL J0347.9-2144 | 03:47:59.8 | -21:44:37 |  0.35 |     6.85 |       1.31 |       1.50 |  6.85 |              |                    |               |           |        |        |             |          8.08 |          6.85 | 1.19 |  9.78 | 4.24 | 1.85 |  6.07 |
|  PSZ2 G216.76-41.84 |       |                   |  PSZ2 G216.76-41.84 |    12 |           | 04:21:22.1 | -20:22:43 | 0.389 |   1.17 |   1.33 | 04:21:17.7 | -20:23:42 |  -1.0 |     0.00 |       0.00 |       0.00 |        85 | ACT-CL J0421.3-2022 | 04:21:22.1 | -20:22:43 |  0.39 |     6.21 |       1.17 |       1.33 |  6.21 |              |                    |               |           |        |        |             |          0.00 |          6.21 | 1.13 |  8.86 | 4.24 | 1.76 |  5.39 |
|  PSZ2 G222.78+12.84 |       |                   |  PSZ2 G222.78+12.84 |    25 |        57 | 07:55:06.3 | -02:41:54 | 0.369 |   0.59 |   0.59 | 07:55:06.3 | -02:41:54 |  0.37 |     6.72 |       0.59 |       0.59 |           |                     |            |           |       |          |            |            |  9.07 |              |                    |               |           |        |        |             |          9.07 |               | 1.29 | 12.86 | 4.40 | 2.01 |  6.08 |
|  PSZ2 G223.93-60.10 |   VHS |                   |  PSZ2 G223.93-60.10 |     7 |        47 | 03:07:01.9 | -28:40:01 | 0.253 |   1.68 |   1.94 | 03:07:00.6 | -28:41:03 |  0.25 |     6.96 |       0.45 |       0.44 |        30 | ACT-CL J0307.0-2840 | 03:07:01.9 | -28:40:01 |  0.25 |     8.60 |       1.68 |       1.94 |  8.60 | J0307.0-2840 | RXCJ0307.0-2840    |  NORAS/REFLEX |  6.258801 |   5.21 |   1.12 |        7.88 |          9.39 |          8.60 | 1.33 | 12.28 | 4.23 | 2.07 |  6.54 |
|  PSZ2 G233.68+36.14 |       |                   |  PSZ2 G233.68+36.14 |    30 |           | 09:35:14.0 | +00:48:02 | 0.355 |   1.40 |   1.59 | 09:35:16.7 | +00:49:06 |  0.36 |     5.48 |       0.67 |       0.65 |        52 | ACT-CL J0935.2+0048 | 09:35:14.0 | +00:48:02 |  0.36 |     7.48 |       1.40 |       1.59 |  7.48 |              |                    |               |           |        |        |             |          7.39 |          7.48 | 1.22 | 10.68 | 4.29 | 1.90 |  7.77 |
|  PSZ2 G235.56+23.29 |       |                   |  PSZ2 G235.56+23.29 |    28 |        55 | 08:56:10.8 | -07:42:42 | 0.374 |   0.65 |   0.66 | 08:56:10.8 | -07:42:42 |  0.37 |     6.77 |       0.65 |       0.66 |           |                     |            |           |       |          |            |            |  9.13 |              |                    |               |           |        |        |             |          9.13 |               | 1.29 | 12.95 | 4.41 | 2.01 |  6.52 |
|  PSZ2 G241.11-28.68 |  P108 |                   |  PSZ2 G241.11-28.68 |       |           | 05:42:57.0 | -35:59:03 |  0.42 |   0.49 |   0.50 | 05:42:57.0 | -35:59:03 |  0.42 |     7.36 |       0.49 |       0.50 |           |                     |            |           |       |          |            |            |  9.93 |              |                    |               |           |        |        |             |          9.93 |               | 1.31 | 14.00 | 4.54 | 2.03 |  6.35 |
|  PSZ2 G241.76-30.88 |   VHS |                   |  PSZ2 G241.76-30.88 |    19 |        45 | 05:32:55.8 | -37:01:33 | 0.275 |   2.02 |   2.32 | 05:32:55.6 | -37:02:22 |  0.27 |     7.00 |       0.35 |       0.34 |        18 | ACT-CL J0532.9-3701 | 05:32:55.8 | -37:01:33 |  0.27 |    10.49 |       2.02 |       2.32 | 10.49 | J0532.9-3701 | RXCJ0532.9-3701    |  NORAS/REFLEX |  6.197377 |   5.11 |   1.11 |        7.73 |          9.44 |         10.49 | 1.41 | 14.90 | 4.36 | 2.19 |  8.23 |
|  PSZ2 G241.98+14.87 |       |                   |  PSZ2 G241.98+14.87 |    26 |        66 | 08:42:00.1 | -17:30:10 | 0.169 |   0.31 |   0.31 | 08:42:00.1 | -17:30:10 |  0.17 |     6.59 |       0.31 |       0.31 |           |                     |            |           |       |          |            |            |  8.89 | J0841.9-1729 | RXC J0841.9-1729   |  CIZA         |  4.074893 |   4.28 |   1.08 |        6.47 |          8.89 |               | 1.38 | 12.73 | 4.16 | 2.16 |  8.32 |
|  PSZ2 G243.15-73.84 |  P109 |             WAVES |  PSZ2 G243.15-73.84 |       |           | 01:59:03.1 | -34:14:06 |  0.41 |   0.50 |   0.48 | 01:59:03.1 | -34:14:06 |  0.41 |     8.09 |       0.50 |       0.48 |           |                     |            |           |       |          |            |            | 10.91 |              |                    |               |           |        |        |             |         10.91 |               | 1.35 | 15.34 | 4.59 | 2.10 | 11.73 |
|  PSZ2 G244.37-32.15 |   VHS |           MeerKAT |  PSZ2 G244.37-32.15 |    18 |        32 | 05:28:51.9 | -39:27:45 | 0.284 |   1.72 |   1.98 | 05:28:48.2 | -39:28:38 |  0.28 |     7.41 |       0.39 |       0.37 |        27 | ACT-CL J0528.8-3927 | 05:28:51.9 | -39:27:45 |  0.28 |     8.98 |       1.72 |       1.98 |  8.98 | J0528.9-3927 | RXCJ0528.9-3927    |  NORAS/REFLEX | 11.952927 |   7.55 |   1.26 |       11.42 |         10.00 |          8.98 | 1.33 | 12.80 | 4.29 | 2.07 |  7.81 |
|  PSZ2 G250.04+24.14 |       |                   |  PSZ2 G250.04+24.14 |    29 |        63 | 09:32:15.5 | -17:40:17 |   0.4 |   0.56 |   0.52 | 09:32:15.5 | -17:40:17 |   0.4 |     6.65 |       0.56 |       0.52 |           |                     |            |           |       |          |            |            |  8.97 |              |                    |               |           |        |        |             |          8.97 |               | 1.27 | 12.69 | 4.43 | 1.98 |  5.95 |
|  PSZ2 G259.98-63.43 |  P109 |           MeerKAT |  PSZ2 G259.98-63.43 |     2 |        29 | 02:32:16.7 | -44:21:04 | 0.284 |   2.35 |   2.70 | 02:32:18.7 | -44:21:40 |  0.28 |     7.54 |       0.32 |       0.33 |         9 | ACT-CL J0232.2-4421 | 02:32:16.7 | -44:21:04 |  0.28 |    12.30 |       2.35 |       2.70 | 12.30 | J0232.2-4420 | RXCJ0232.2-4420    |  NORAS/REFLEX |  8.499136 |   6.13 |   1.17 |        9.28 |         10.17 |         12.30 | 1.48 | 17.39 | 4.48 | 2.30 |  7.43 |
|  PSZ2 G262.27-35.38 |   VHS |           MeerKAT |  PSZ2 G262.27-35.38 |    17 |        14 | 05:16:35.2 | -54:32:03 | 0.295 |   0.25 |   0.24 | 05:16:35.2 | -54:32:03 |   0.3 |     8.76 |       0.25 |       0.24 |           |                     |            |           |       |          |            |            | 11.82 | J0516.6-5430 | RXCJ0516.6-5430    |  NORAS/REFLEX | 12.598125 |   7.72 |   1.26 |       11.69 |         11.82 |               | 1.45 | 16.71 | 4.46 | 2.26 |  8.50 |
|  PSZ2 G262.73-40.92 |  P108 |                   |  PSZ2 G262.73-40.92 |       |           | 04:38:22.8 | -54:19:15 | 0.421 |   0.36 |   0.36 | 04:38:22.8 | -54:19:15 |  0.42 |     7.46 |       0.36 |       0.36 |           |                     |            |           |       |          |            |            | 10.06 |              |                    |               |           |        |        |             |         10.06 |               | 1.31 | 14.19 | 4.55 | 2.03 |  7.46 |
|  PSZ2 G263.03-56.19 |       |                   |  PSZ2 G263.03-56.19 |     6 |           | 03:04:14.6 | -49:21:27 | 0.392 |   1.26 |   1.43 | 03:04:20.4 | -49:21:20 |  0.39 |     4.70 |       0.66 |       0.61 |        60 | ACT-CL J0304.2-4921 | 03:04:14.6 | -49:21:27 |  0.39 |     6.91 |       1.26 |       1.43 |  6.91 |              |                    |               |           |        |        |             |          6.34 |          6.91 | 1.17 |  9.85 | 4.29 | 1.82 |  5.55 |
|  PSZ2 G263.14-23.41 |   VHS |           MeerKAT |  PSZ2 G263.14-23.41 |    21 |        52 | 06:38:47.1 | -53:58:23 | 0.226 |   2.49 |   2.88 | 06:38:53.8 | -53:58:53 |  0.23 |     6.83 |       0.31 |       0.34 |         8 | ACT-CL J0638.7-5358 | 06:38:47.1 | -53:58:23 |  0.23 |    12.54 |       2.49 |       2.88 | 12.54 | J0638.7-5358 | RXCJ0638.7-5358    |  NORAS/REFLEX |  9.536792 |   6.88 |   1.24 |       10.41 |          9.21 |         12.54 | 1.52 | 17.79 | 4.40 | 2.37 | 10.53 |
|  PSZ2 G263.68-22.55 |   VHS |           MeerKAT |  PSZ2 G263.68-22.55 |    22 |        19 | 06:45:28.5 | -54:13:23 | 0.167 |   2.33 |   2.74 | 06:45:28.6 | -54:13:45 |  0.16 |     7.96 |       0.21 |       0.23 |        13 | ACT-CL J0645.4-5413 | 06:45:28.5 | -54:13:23 |  0.17 |    11.18 |       2.33 |       2.74 | 11.18 | J0645.4-5413 | RXCJ0645.4-5413    |  NORAS/REFLEX |  6.709122 |   5.82 |   1.20 |        8.80 |         10.74 |         11.18 | 1.49 | 15.96 | 4.25 | 2.33 | 13.17 |
|  PSZ2 G266.83+25.08 |   VHS |                   |  PSZ2 G266.83+25.08 |    32 |        34 | 10:23:53.1 | -27:15:07 | 0.254 |   0.37 |   0.36 | 10:23:53.1 | -27:15:07 |  0.25 |     7.37 |       0.37 |       0.36 |           |                     |            |           |       |          |            |            |  9.94 | J1023.8-2715 | RXCJ1023.8-2715    |  NORAS/REFLEX |  11.91962 |   7.71 |   1.28 |       11.67 |          9.94 |               | 1.39 | 14.15 | 4.30 | 2.17 |  7.94 |
|  PSZ2 G271.18-30.95 |  P108 |                   |  PSZ2 G271.18-30.95 |    20 |        33 | 05:49:23.0 | -62:04:21 |  0.37 |   0.32 |   0.31 | 05:49:23.0 | -62:04:21 |  0.37 |     7.37 |       0.32 |       0.31 |           |                     |            |           |       |          |            |            |  9.94 |              |                    |               |           |        |        |             |          9.94 |               | 1.33 | 14.06 | 4.46 | 2.07 |  8.45 |
|  PSZ2 G271.53-56.57 |   VHS |           MeerKAT |  PSZ2 G271.53-56.57 |     3 |        54 | 02:45:30.0 | -53:02:09 | 0.298 |   2.02 |   2.31 | 02:45:28.4 | -53:02:32 |   0.3 |     6.78 |       0.36 |       0.37 |        15 | ACT-CL J0245.5-5302 | 02:45:30.0 | -53:02:09 |   0.3 |    10.65 |       2.02 |       2.31 | 10.65 |              |                    |               |           |        |        |             |          9.15 |         10.65 | 1.40 | 15.11 | 4.40 | 2.18 |  8.90 |
|  PSZ2 G277.76-51.74 |  GCAV |  SPT-ClJ0254.8587 |  PSZ2 G277.76-51.74 |       |           | 02:54:16.4 | -58:57:38 | 0.438 |   0.38 |   0.37 | 02:54:16.4 | -58:57:38 |  0.44 |     9.69 |       0.38 |       0.37 |           |                     |            |           |       |          |            |            | 13.07 |              |                    |               |           |        |        |             |         13.07 |               | 1.42 | 18.23 | 4.81 | 2.20 |  6.94 |
|  PSZ2 G284.97-23.69 |  GCAV |                   |  PSZ2 G284.97-23.69 |    24 |        15 | 07:23:21.4 | -73:26:21 |  0.39 |   0.34 |   0.33 | 07:23:21.4 | -73:26:21 |  0.39 |     8.39 |       0.34 |       0.33 |           |                     |            |           |       |          |            |            | 11.32 |              |                    |               |           |        |        |             |         11.32 |               | 1.38 | 15.90 | 4.59 | 2.14 |  7.79 |
|  PSZ2 G285.63-17.23 |       |                   |  PSZ2 G285.63-17.23 |    27 |        64 | 08:44:10.5 | -71:12:07 |  0.35 |   0.41 |   0.40 | 08:44:10.5 | -71:12:07 |  0.35 |     6.64 |       0.41 |       0.40 |           |                     |            |           |       |          |            |            |  8.96 |              |                    |               |           |        |        |             |          8.96 |               | 1.30 | 12.71 | 4.37 | 2.02 |  7.18 |
|  PSZ2 G286.98+32.90 |  GCAV |                   |  PSZ2 G286.98+32.90 |    35 |         0 | 11:50:49.4 | -28:05:07 |  0.39 |   0.42 |   0.39 | 11:50:49.4 | -28:05:07 |  0.39 |    14.69 |       0.42 |       0.39 |           |                     |            |           |       |          |            |            | 19.82 |              |                    |               |           |        |        |             |         19.82 |               | 1.67 | 27.24 | 5.18 | 2.56 |  7.27 |
|  PSZ2 G288.63-37.66 |       |                   |  PSZ2 G288.63-37.66 |    10 |        69 | 03:52:14.6 | -74:00:30 | 0.127 |   0.20 |   0.19 | 03:52:14.6 | -74:00:30 |  0.13 |     6.44 |       0.20 |       0.19 |           |                     |            |           |       |          |            |            |  8.69 | J0352.4-7401 | MS0353.3-7411      |  EMSS         |  2.276006 |   3.09 |   0.99 |        4.68 |          8.69 |               | 1.39 | 12.48 | 4.12 | 2.18 |  6.65 |
|  PSZ2 G292.56+21.97 |       |                   |  PSZ2 G292.56+21.97 |    36 |        21 | 12:01:11.9 | -39:53:01 |   0.3 |   0.46 |   0.44 | 12:01:11.9 | -39:53:01 |   0.3 |     7.93 |       0.46 |       0.44 |           |                     |            |           |       |          |            |            | 10.70 |              |                    |               |           |        |        |             |         10.70 |               | 1.40 | 15.17 | 4.41 | 2.18 |  7.14 |
|  PSZ2 G294.68-37.01 |       |                   |  PSZ2 G294.68-37.01 |     5 |        46 | 03:03:57.8 | -77:54:11 | 0.274 |   0.32 |   0.29 | 03:03:57.8 | -77:54:11 |  0.27 |     6.99 |       0.32 |       0.29 |           |                     |            |           |       |          |            |            |  9.43 | J0303.7-7752 | RXCJ0303.7-7752    |  NORAS/REFLEX |  6.344215 |   5.17 |   1.11 |        7.82 |          9.43 |               | 1.36 | 13.42 | 4.30 | 2.12 |  6.46 |
|  PSZ2 G304.84-41.40 |   SMC |                   |  PSZ2 G304.84-41.40 |       |           | 00:28:16.7 | -75:38:02 |  0.41 |   0.38 |   0.35 | 00:28:16.7 | -75:38:02 |  0.41 |     7.65 |       0.38 |       0.35 |           |                     |            |           |       |          |            |            | 10.32 |              |                    |               |           |        |        |             |         10.32 |               | 1.33 | 14.55 | 4.55 | 2.06 | 10.12 |
|  PSZ2 G306.66+61.06 |       |                   |  PSZ2 G306.66+61.06 |    39 |           | 12:58:42.0 | -01:45:55 | 0.085 |   1.91 |   2.35 | 12:58:39.6 | -01:44:58 |  0.08 |     4.45 |       0.25 |       0.24 |        38 | ACT-CL J1258.7-0145 | 12:58:42.0 | -01:45:55 |  0.08 |     8.05 |       1.91 |       2.35 |  8.05 | J1258.6-0145 | RXCJ1258.6-0145    |  NORAS/REFLEX |  3.470646 |   4.12 |   1.10 |        6.24 |          6.00 |          8.05 | 1.38 | 11.60 | 4.07 | 2.16 | 15.31 |
|  PSZ2 G307.56-10.74 |       |                   |  PSZ2 G307.56-10.74 |    47 |        24 | 13:54:38.5 | -73:02:38 |  0.25 |   0.52 |   0.51 | 13:54:38.5 | -73:02:38 |  0.25 |     7.75 |       0.52 |       0.51 |           |                     |            |           |       |          |            |            | 10.45 |              |                    |               |           |        |        |             |         10.45 |               | 1.42 | 14.88 | 4.32 | 2.21 |  8.01 |
