#priorities: LoCuSS MENeaCS CoMaLit ACT-DR5 SPT-ECS SPT-SZ PSZ2 CODEX MCXC
#masscols: PSZ2:MSZ ACT-DR5:M500cCal SPT-ECS:M500 SPT-SZ:M500 MCXC:M500 CODEX:M200c CoMaLit:M200c AXES-LEGACY:M200c MENeaCS:m200 LoCuSS:M200 eRASS1:M500
#factors: PSZ2:1.1 ACT-DR5:1 SPT-ECS:1 SPT-SZ:1 MCXC:1.41 CODEX:0.7 CoMaLit:1 AXES-LEGACY:0.88 MENeaCS:1 LoCuSS:1 eRASS1:1
#Units: 1,hh:mm:ss,dd:mm:ss,1,1e14 * Msun,Mpc,arcmin,1
|               name |        hms |         dms |      z | m200 | r200 |  d200 |  source |
| PSZ2 G271.18-30.95 | 05:49:18.2 | -62:04:58.8 | 0.3755 | 16.4 | 2.18 |  6.80 |  SPT-SZ |
| PSZ2 G277.76-51.74 | 02:54:23.0 | -58:57:50.4 | 0.4380 | 11.2 | 1.87 |  5.33 | ACT-DR5 |
| PSZ2 G286.98+32.90 | 11:50:49.2 | -28:04:37.2 | 0.3900 | 31.0 | 2.67 |  8.17 | CoMaLit |
| PSZ2 G348.90-67.37 | 23:25:13.0 | -41:12:28.8 | 0.3580 | 10.9 | 1.91 |  6.15 | ACT-DR5 |
|   RXC J0528.9-3827 | 05:28:53.0 | -39:28:15.5 | 0.2840 | 12.8 | 2.07 |  7.81 | ACT-DR5 |
|   RXC J1314.4-2515 | 13:14:28.1 | -25:15:39.6 | 0.2440 | 13.8 | 2.16 |  9.06 | SPT-ECS |
|   RXC J1347.5-1144 | 13:47:30.5 | -11:45:10.8 | 0.4516 | 16.1 | 2.10 |  5.88 | MENeaCS |
|   RXC J1514.9-1523 | 15:14:58.1 | -15:23:09.6 | 0.2226 | 14.0 | 2.18 |  9.84 |    PSZ2 |
|   RXC J2031.8-4037 | 20:31:51.6 | -40:37:15.6 | 0.3410 | 14.7 | 2.13 |  7.07 | ACT-DR5 |
|   RXC J2211.7-0350 | 22:11:43.4 | -03:49:44.4 | 0.3970 | 19.4 | 2.28 |  6.89 | CoMaLit |
|   RXC J2248.7-4431 | 22:48:43.4 | -44:31:44.4 | 0.3475 | 18.7 | 2.30 |  7.55 | CoMaLit |
| SMACS J0723.3-7327 | 07:23:21.4 | -73:26:20.4 | 0.3900 | 13.0 | 2.00 |  6.11 |    PSZ2 |
