| index |        CHANCES name |         ra |       dec |     z | Gal_Long | Gal_Latitude |    Lx | VST | AAO_redshifts |  SPLUS |           Comments |           PSZ_name | index_PSZ |         hms |         dms | m500lo | m500_PSZ |         MCXC |             X-rays | X-ray catalog |   L500_X | m500_X | r500_X | m500_ACT | m500_X_corr | m500_PSZ_corr | m500_ACT_corr |  m500 | r500 |  m200 | c200 | r200 |  d200 |
|    13 |               A3164 |     56.454 |   -57.033 | 0.061 |  269.436 |      -47.164 |  0.75 |   N |             0 |  SPLUS |                    | PSZ2 G269.36-47.20 |           |  3:45:48.96 | -57:01:58.8 |        |     1.53 | J0346.1-5702 | RXCJ0346.1-5702    |  NORAS/REFLEX | 0.537529 |   1.35 |   0.77 |    -1.00 |        2.04 |          2.06 |         -1.00 |  2.06 | 0.88 |  2.96 | 4.18 | 1.38 | 22.72 |
|    36 |               A3223 |     62.067 |   -30.894 |  0.06 |  230.151 |      -47.144 | 0.722 |   N |             0 |  SPLUS |                    | PSZ2 G230.29-47.13 |           |  4:08:16.08 | -30:53:38.4 |        |     1.84 | J0408.2-3053 | RXCJ0408.2-3053    |  NORAS/REFLEX | 0.664945 |   1.53 |   0.80 |    -1.00 |        2.32 |          2.48 |         -1.00 |  2.48 | 0.94 |  3.56 | 4.13 | 1.47 | 17.70 |
|    14 |               A3266 |     67.804 |    -61.45 | 0.054 |  272.143 |      -40.153 |  3.14 |   Y |           877 |  2021B |                    | PSZ2 G272.08-40.16 |           |  4:31:12.96 |   -61:27:00 |        |     6.64 | J0431.4-6126 | RXCJ0431.4-6126    |  NORAS/REFLEX | 3.977333 |   4.56 |   1.15 |    -1.00 |        6.90 |          8.96 |         -1.00 |  8.96 | 1.44 | 12.90 | 4.07 | 2.26 | 30.92 |
|    15 |               A3376 |      90.17 |   -40.033 | 0.046 |  246.505 |      -26.294 |  1.27 |   Y |           519 |  2020B |                    | PSZ2 G246.50-26.09 |           |   6:00:40.8 | -40:01:58.8 |        |     2.38 |              |                    |               |          |        |        |    -1.00 |             |          3.21 |         -1.00 |  3.21 | 1.03 |  4.63 | 4.08 | 1.61 | 25.10 |
|    32 |               A3391 |     96.595 |   -53.697 | 0.051 |  262.377 |      -25.148 | 1.261 |   N |            85 | 2021B? | Merging with A3395 | PSZ2 G262.36-25.15 |           |   6:26:22.8 | -53:41:49.2 |        |     2.82 | J0626.3-5341 | RXCJ0626.3-5341    |  NORAS/REFLEX | 1.160127 |   2.16 |   0.90 |    -1.00 |        3.27 |          3.80 |         -1.00 |  3.80 | 1.08 |  5.48 | 4.05 | 1.70 | 26.52 |
|    33 |               A3392 |     97.784 |   -35.489 | 0.055 |  243.456 |      -19.963 | 0.841 |   N |             0 |     NO |                    |                 -- |           |  6:31:08.16 | -35:29:20.4 |        |          |              |                    |               |          |        |        |    -1.00 |             |               |         -1.00 |       |      |       | 4.06 |      | 22.10 |
|    16 |               A3395 |       96.9 |   -54.433 |  0.05 |  263.215 |      -25.129 |  1.43 |   Y |           652 |  2021B |                    | PSZ2 G263.19-25.19 |           |     6:27:36 | -54:25:58.8 |        |     3.21 |              |                    |               |          |        |        |    -1.00 |             |          4.33 |         -1.00 |  4.33 | 1.13 |  6.24 | 4.03 | 1.77 | 26.31 |
|    17 |               A3490 |    176.333 |   -34.433 |  0.07 |  287.736 |        26.48 |  0.88 |   N |             0 |     NO |                    | PSZ2 G287.72+26.46 |           | 11:45:19.92 | -34:25:58.8 |        |     2.58 | J1145.3-3425 | RXCJ1145.3-3425    |  NORAS/REFLEX |  0.75324 |   1.64 |   0.81 |    -1.00 |        2.48 |          3.48 |         -1.00 |  3.48 | 1.05 |  5.01 | 4.06 | 1.64 | 27.54 |
|    18 |               A3497 |    180.016 |   -31.383 | 0.061 |  290.246 |       30.219 |  0.74 |   N |             0 |     NO |                    | PSZ2 G290.19+30.16 |           | 12:00:03.84 | -31:22:58.8 |        |     2.25 | J1200.0-3124 | RXCJ1200.0-3124    |  NORAS/REFLEX | 0.696381 |   1.56 |   0.80 |    -1.00 |        2.37 |          3.04 |         -1.00 |  3.04 | 1.00 |  4.37 | 4.08 | 1.57 | 26.91 |
|    20 |              A3528N |      193.5 |    -28.85 | 0.053 |  303.608 |       34.018 |  1.01 |   Y |           627 |  Shapl |                    |                 -- |           |    12:54:00 |   -28:51:00 |        |          |              |                    |               |          |        |        |    -1.00 |             |               |         -1.00 |       |      |       | 4.06 |      | 25.18 |
|    19 |              A3528S |    193.645 |   -29.383 | 0.053 |  303.753 |       33.483 |  0.68 |   Y |           627 |  Shapl |                    | PSZ2 G303.75+33.70 |           |  12:54:34.8 | -29:22:58.8 |        |     2.87 |              |                    |               |          |        |        |    -1.00 |             |          3.87 |         -1.00 |  3.87 | 1.09 |  5.58 | 4.05 | 1.71 | 28.16 |
|    21 |               A3530 |      193.9 |   -30.333 | 0.054 |  303.997 |       32.529 |  0.44 |   Y |           530 |  Shapl |                    |                 -- |           |    12:55:36 | -30:19:58.8 |        |          | J1255.5-3019 | RXCJ1255.5-3019    |  NORAS/REFLEX | 0.680511 |   1.56 |   0.80 |    -1.00 |        2.36 |               |         -1.00 |  2.36 | 0.92 |  3.39 | 4.15 | 1.45 | 22.57 |
|    22 |               A3532 |    194.337 |    -30.35 | 0.056 |  304.444 |       32.504 |  1.44 |   Y |           250 |  Shapl |                    | PSZ2 G304.44+32.48 |           | 12:57:20.88 |   -30:21:00 |        |     3.45 | J1257.2-3022 | RXCJ1257.2-3022    |  NORAS/REFLEX | 1.323277 |   2.34 |   0.92 |    -1.00 |        3.53 |          4.65 |         -1.00 |  4.65 | 1.16 |  6.71 | 4.03 | 1.81 | 33.05 |
|    23 |               A3556 |    201.029 |   -31.666 | 0.049 |  311.017 |       30.691 |  0.48 |   Y |           625 |  Shapl |                    |                 -- |           | 13:24:06.96 | -31:39:57.6 |        |          |              |                    |               |          |        |        |    -1.00 |             |               |         -1.00 |       |      |       | 4.06 |      | 19.15 |
|    24 |               A3558 |    201.987 |   -31.483 | 0.048 |  311.988 |       30.745 |   3.2 |   Y |           706 |  Shapl |                    | PSZ2 G311.98+30.71 |           | 13:27:56.88 | -31:28:58.8 |        |     4.79 | J1327.9-3130 | RXCJ1327.9-3130    |  NORAS/REFLEX | 3.138519 |   3.97 |   1.10 |    -1.00 |        6.02 |          6.46 |         -1.00 |  6.46 | 1.29 |  9.32 | 4.03 | 2.03 | 34.78 |
|    25 |               A3560 |     202.97 |   -33.233 | 0.047 |  312.586 |       28.879 |  0.67 |   Y |           580 |  Shapl |                    |                 -- |           |  13:31:52.8 | -33:13:58.8 |        |          |              |                    |               |          |        |        |    -1.00 |             |               |         -1.00 |       |      |       | 4.06 |      | 21.36 |
|    26 |               A3562 |    203.395 |   -31.666 |  0.05 |  313.322 |       30.353 |   1.7 |   N |             0 |  Shapl |                    | PSZ2 G313.33+30.29 |           |  13:33:34.8 | -31:39:57.6 |        |     2.44 | J1333.6-3139 | RXCJ1333.6-3139    |  NORAS/REFLEX | 1.345772 |   2.37 |   0.93 |    -1.00 |        3.59 |          3.29 |         -1.00 |  3.29 | 1.03 |  4.74 | 4.07 | 1.62 | 26.21 |
|    38 |               A3571 |    206.868 |   -32.849 | 0.039 |  316.319 |       28.561 | 4.206 |   N |             0 |  Shap? |                    | PSZ2 G316.31+28.53 |           | 13:47:28.32 | -32:50:56.4 |        |     4.63 | J1347.4-3250 | RXCJ1347.4-3250    |  NORAS/REFLEX |  3.81992 |   4.51 |   1.15 |    -1.00 |        6.82 |          6.25 |         -1.00 |  6.25 | 1.28 |  9.03 | 4.03 | 2.01 | 30.37 |
|    27 |               A3667 |    303.112 |   -56.816 | 0.053 |  340.879 |      -33.383 |  4.47 |   Y |           687 |  2021B |                    | PSZ2 G340.88-33.36 |           | 20:12:26.88 | -56:48:57.6 |        |     5.67 | J2012.5-5649 | RXCJ2012.5-5649    |  NORAS/REFLEX | 4.871933 |   5.17 |   1.20 |    -1.00 |        7.82 |          7.65 |         -1.00 |  7.65 | 1.37 | 11.02 | 4.05 | 2.14 | 26.54 |
|    28 |               A3716 |    312.875 |   -52.716 | 0.045 |  345.555 |      -39.233 |  0.52 |   Y |           609 |    ??? |                    | PSZ2 G345.38-39.32 |           |    20:51:30 | -52:42:57.6 |        |     1.81 |              |                    |               |          |        |        |    -1.00 |             |          2.44 |         -1.00 |  2.44 | 0.94 |  3.51 | 4.14 | 1.47 | 24.18 |
|    29 |               A3809 |    326.745 |   -43.883 | 0.063 |  356.096 |      -49.531 |  1.15 |   Y |           695 |  SPLUS |                    | PSZ2 G356.04-49.50 |           |  21:46:58.8 | -43:52:58.8 |        |     1.67 | J2146.9-4354 | RXCJ2146.9-4354    |  NORAS/REFLEX | 0.811447 |   1.73 |   0.83 |    -1.00 |        2.61 |          2.25 |         -1.00 |  2.25 | 0.91 |  3.24 | 4.15 | 1.42 | 19.74 |
|    30 |               A4059 |     359.25 |    -34.75 | 0.048 |  356.414 |       -76.08 |  1.58 |   Y |           686 |  SPLUS |                    | PSZ2 G356.25-76.07 |           |    23:57:00 |   -34:45:00 |        |     4.26 | J2357.0-3445 | RXCJ2357.0-3445    |  NORAS/REFLEX | 1.629622 |   2.67 |   0.96 |    -1.00 |        4.03 |          5.75 |         -1.00 |  5.75 | 1.25 |  8.30 | 4.03 | 1.95 | 25.58 |
|    43 | ACT-CL J0507.6-0915 |  76.910417 |   -9.2575 |  0.04 |          |              |       |     |               |        |                    |                 -- |           |   5:07:38.5 |    -9:15:27 |   2.26 |    -1.00 | J0507.7-0915 | RXCJ0507.7-0915    |  NORAS/REFLEX | 0.182205 |   0.70 |   0.62 |     7.30 |        1.07 |         -1.35 |          7.30 |  7.30 | 1.35 | 10.52 | 4.04 | 2.12 | 44.20 |
|    46 | ACT-CL J0600.7-5836 |   90.18875 | -58.60889 | 0.037 |          |              |       |     |               |        |                    |                 -- |           |   6:00:45.3 |   -58:36:32 |   1.72 |    -1.00 | J0600.8-5835 | RXCJ0600.8-5835    |  NORAS/REFLEX |  0.08148 |   0.43 |   0.53 |     5.67 |        0.65 |         -1.35 |          5.67 |  5.67 | 1.24 |  8.19 | 4.03 | 1.95 | 49.20 |
|    35 |             J0413.9 |     63.487 |     -38.1 |  0.05 |   240.79 |      -46.521 | 0.789 |   N |             0 |  SPLUS |                    | PSZ2 G240.80-46.51 |           |  4:13:56.88 |   -38:06:00 |        |     1.52 | J0413.9-3805 | RXCJ0413.9-3805    |  NORAS/REFLEX | 0.725639 |   1.62 |   0.82 |    -1.00 |        2.46 |          2.05 |         -1.00 |  2.05 | 0.88 |  2.94 | 4.19 | 1.38 | 23.19 |
|    41 |  PSZ2 G220.74-58.91 |  47.867083 | -26.93583 | 0.068 |          |              |       |     |               |        |                    | PSZ2 G220.74-58.91 |       354 |   3:11:28.1 |   -26:56:09 |   0.28 |     1.92 | J0311.4-2653 | RXCJ0311.4-2653    |  NORAS/REFLEX | 0.334315 |   1.00 |   0.69 |    -1.00 |        1.51 |          2.59 |         -1.00 |  2.59 | 0.95 |  3.72 | 4.11 | 1.48 | 18.39 |
|    45 |  PSZ2 G230.28-24.42 |  87.160833 | -25.48306 | 0.042 |          |              |       |     |               |        |                    | PSZ2 G230.28-24.42 |       370 |   5:48:38.6 |   -25:28:59 |   0.17 |     1.53 | J0548.6-2527 | RXCJ0548.6-2527    |  NORAS/REFLEX | 0.551689 |   1.38 |   0.78 |    -1.00 |        2.09 |          2.06 |         -1.00 |  2.06 | 0.89 |  2.96 | 4.19 | 1.39 | 21.27 |
|    42 |  PSZ2 G242.41-37.40 |  75.203333 | -38.67472 | 0.054 |          |              |       |     |               |        |                    | PSZ2 G242.41-37.40 |       362 |   5:00:48.8 |   -38:40:29 |   0.17 |     1.75 | J0500.7-3840 | RXCJ0500.7-3840    |  NORAS/REFLEX |  0.48661 |   1.27 |   0.75 |    -1.00 |        1.92 |          2.36 |         -1.00 |  2.36 | 0.92 |  3.39 | 4.15 | 1.45 | 29.45 |
|    50 |  PSZ2 G243.02+42.87 | 153.505417 |  -0.95889 | 0.045 |          |              |       |     |               |        |                    | PSZ2 G243.02+42.87 |       364 |  10:14:01.3 |    -0:57:32 |   0.18 |     1.71 |              |                    |               |          |        |        |    -1.00 |             |          2.31 |         -1.00 |  2.31 | 0.92 |  3.31 | 4.16 | 1.44 | 32.39 |
|    44 |  PSZ2 G246.36-30.27 |  85.037083 | -40.79333 | 0.036 |          |              |       |     |               |        |                    | PSZ2 G246.36-30.27 |       379 |   5:40:08.9 |   -40:47:36 |   0.17 |     1.13 | J0540.1-4050 | RXCJ0540.1-4050    |  NORAS/REFLEX | 0.447219 |   1.22 |   0.75 |    -1.00 |        1.85 |          1.52 |         -1.00 |  1.52 | 0.80 |  2.17 | 4.30 | 1.25 | 24.37 |
|    52 |  PSZ2 G257.51+57.54 |   170.3625 |   2.84194 | 0.047 |          |              |       |     |               |        |                    | PSZ2 G257.51+57.54 |       372 |    11:21:27 |     2:50:31 |   0.19 |     1.52 |              |                    |               |          |        |        |    -1.00 |             |          2.05 |         -1.00 |  2.05 | 0.88 |  2.94 | 4.19 | 1.38 | 30.31 |
|    47 |  PSZ2 G265.21-24.83 |  98.070833 | -56.14722 | 0.054 |          |              |       |     |               |        |                    | PSZ2 G265.21-24.83 |       357 |     6:32:17 |   -56:08:50 |   0.17 |     1.84 |              |                    |               |          |        |        |    -1.00 |             |          2.48 |         -1.00 |  2.48 | 0.94 |  3.56 | 4.13 | 1.47 | 22.56 |
|    48 |  PSZ2 G271.60-12.50 | 123.142917 | -57.24167 | 0.062 |          |              |       |     |               |        |                    | PSZ2 G271.60-12.50 |       270 |   8:12:34.3 |   -57:14:30 |   0.18 |     3.51 | J0812.5-5714 | RXC J0812.5-5714   |  CIZA         | 1.969423 |   2.96 |   0.99 |    -1.00 |        4.48 |          4.73 |         -1.00 |  4.73 | 1.16 |  6.83 | 4.03 | 1.82 | 24.57 |
|    49 |  PSZ2 G272.11-11.50 | 125.187917 | -57.13417 | 0.061 |          |              |       |     |               |        |                    | PSZ2 G272.11-11.50 |       319 |   8:20:45.1 |   -57:08:03 |   0.16 |     2.48 |              |                    |               |          |        |        |    -1.00 |             |          3.35 |         -1.00 |  3.35 | 1.04 |  4.82 | 4.07 | 1.62 | 22.21 |
|    51 |  PSZ2 G280.21+14.57 |   162.2175 | -42.83028 | 0.058 |          |              |       |     |               |        |                    | PSZ2 G280.21+14.57 |       361 |  10:48:52.2 |   -42:49:49 |   0.24 |     1.78 |              |                    |               |          |        |        |    -1.00 |             |          2.40 |         -1.00 |  2.40 | 0.93 |  3.45 | 4.14 | 1.45 | 26.45 |
|    55 |  PSZ2 G317.58-17.82 | 251.372917 | -73.59222 | 0.069 |          |              |       |     |               |        |                    | PSZ2 G317.58-17.82 |       348 |  16:45:29.5 |   -73:35:32 |   0.25 |     2.06 | J1645.4-7334 | RXC J1645.4-7334   |  CIZA         | 0.928838 |   1.86 |   0.85 |    -1.00 |        2.82 |          2.78 |         -1.00 |  2.78 | 0.97 |  3.99 | 4.10 | 1.52 | 21.80 |
|    54 |  PSZ2 G324.59-11.52 |  249.57875 | -64.35917 | 0.051 |          |              |       |     |               |        |                    | PSZ2 G324.59-11.52 |        20 |  16:38:18.9 |   -64:21:33 |   0.16 |     7.94 | J1638.2-6420 | RXC J1638.2-6420   |  CIZA         | 4.946943 |   5.24 |   1.21 |    -1.00 |        7.92 |         10.71 |         -1.00 | 10.71 | 1.53 | 15.38 | 4.11 | 2.40 | 41.88 |
|    53 |  PSZ2 G326.01+17.21 |     222.28 |  -40.3275 | 0.062 |          |              |       |     |               |        |                    | PSZ2 G326.01+17.21 |       345 |  14:49:07.2 |   -40:19:39 |   0.26 |     2.12 |              |                    |               |          |        |        |    -1.00 |             |          2.86 |         -1.00 |  2.86 | 0.98 |  4.11 | 4.09 | 1.54 | 20.75 |
|    56 |  PSZ2 G342.82-30.48 | 298.049583 | -55.06333 |  0.06 |          |              |       |     |               |        |                    | PSZ2 G342.82-30.48 |       283 |  19:52:11.9 |   -55:03:48 |   0.20 |     3.24 | J1952.2-5503 | RXCJ1952.2-5503    |  NORAS/REFLEX |  0.62587 |   1.47 |   0.79 |    -1.00 |        2.23 |          4.37 |         -1.00 |  4.37 | 1.13 |  6.30 | 4.03 | 1.77 | 28.71 |
|    40 |  PSZ2 G344.99-81.88 |    6.38125 | -33.00583 | 0.049 |          |              |       |     |               |        |                    | PSZ2 G344.99-81.88 |       374 |   0:25:31.5 |   -33:00:21 |   0.18 |     1.45 | J0025.5-3302 | RXCJ0025.5-3302    |  NORAS/REFLEX |  0.49467 |   1.29 |   0.76 |    -1.00 |        1.95 |          1.96 |         -1.00 |  1.96 | 0.87 |  2.80 | 4.20 | 1.36 | 16.61 |
|    57 |  PSZ2 G345.82-34.29 | 304.704167 |   -52.715 | 0.051 |          |              |       |     |               |        |                    | PSZ2 G345.82-34.29 |       356 |    20:18:49 |   -52:42:54 |   0.16 |     1.84 | J2018.7-5242 | RXCJ2018.7-5242    |  NORAS/REFLEX | 0.691313 |   1.58 |   0.81 |    -1.00 |        2.39 |          2.48 |         -1.00 |  2.48 | 0.94 |  3.56 | 4.13 | 1.47 | 20.47 |
|    58 |  PSZ2 G357.75-41.77 | 315.929167 | -43.32583 | 0.049 |          |              |       |     |               |        |                    | PSZ2 G357.75-41.77 |       368 |    21:03:43 |   -43:19:33 |   0.23 |     1.55 |              |                    |               |          |        |        |    -1.00 |             |          2.09 |         -1.00 |  2.09 | 0.89 |  2.99 | 4.18 | 1.39 | 22.49 |
|    31 |               S1101 |    348.494 |   -42.734 | 0.056 |  348.329 |      -64.811 | 1.988 |   N |             0 |     NO |                    | PSZ2 G348.46-64.83 |           | 23:13:58.56 | -42:44:02.4 |        |     3.39 | J2313.9-4244 | RXCJ2313.9-4244    |  NORAS/REFLEX | 1.811143 |   2.83 |   0.98 |    -1.00 |        4.28 |          4.57 |         -1.00 |  4.57 | 1.15 |  6.60 | 4.03 | 1.80 | 30.32 |
